date,year,state,top_item,id,hex_code
2024-01-07,2024,AR,Rhyhorn,111,#B8A038
2024-01-07,2024,AZ,Seel,86,#B8B8D0
2024-01-07,2024,CA,Psyduck,54,#6890F0
2024-01-07,2024,CO,Seel,86,#B8B8D0
2024-01-07,2024,CT,Pinsir,127,#78C850
2024-01-07,2024,DC,Seaking,119,#F08030
2024-01-07,2024,DE,Weepinbell,70,#78C850
2024-01-07,2024,FL,Venonat,48,#A040A0
2024-01-07,2024,GA,Seel,86,#B8B8D0
2024-01-07,2024,HI,Venomoth,49,#A040A0
2024-01-07,2024,IA,Venomoth,49,#A040A0
2024-01-07,2024,ID,Gastly,92,#705898
2024-01-07,2024,IL,Seel,86,#B8B8D0
2024-01-07,2024,IN,Venomoth,49,#A040A0
2024-01-07,2024,KS,Ditto,132,#F8A8B8
2024-01-07,2024,KY,Venonat,48,#A040A0
2024-01-07,2024,LA,Venomoth,49,#A040A0
2024-01-07,2024,MA,Seel,86,#B8B8D0
2024-01-07,2024,MD,Pinsir,127,#78C850
2024-01-07,2024,ME,Venonat,48,#A040A0
2024-01-07,2024,MI,Seel,86,#B8B8D0
2024-01-07,2024,MN,Venomoth,49,#A040A0
2024-01-07,2024,MO,Gastly,92,#705898
2024-01-07,2024,MS,Ditto,132,#F8A8B8
2024-01-07,2024,MT,Seel,86,#B8B8D0
2024-01-07,2024,NC,Seel,86,#B8B8D0
2024-01-07,2024,ND,Tauros,128,#A89078
2024-01-07,2024,NE,Dodrio,85,#A89078
2024-01-07,2024,NH,Venonat,48,#A040A0
2024-01-07,2024,NJ,Venomoth,49,#A040A0
2024-01-07,2024,NM,Gastly,92,#705898
2024-01-07,2024,NV,Gastly,92,#705898
2024-01-07,2024,NY,Seel,86,#B8B8D0
2024-01-07,2024,OH,Gastly,92,#705898
2024-01-07,2024,OK,Gastly,92,#705898
2024-01-07,2024,OR,Gastly,92,#705898
2024-01-07,2024,PA,Venomoth,49,#A040A0
2024-01-07,2024,RI,Gastly,92,#705898
2024-01-07,2024,SC,Venomoth,49,#A040A0
2024-01-07,2024,SD,Seel,86,#B8B8D0
2024-01-07,2024,TN,Seel,86,#B8B8D0
2024-01-07,2024,TX,Gastly,92,#705898
2024-01-07,2024,UT,Gastly,92,#705898
2024-01-07,2024,VA,Venomoth,49,#A040A0
2024-01-07,2024,VT,Seel,86,#B8B8D0
2024-01-07,2024,WA,Venomoth,49,#A040A0
2024-01-07,2024,WI,Slowbro,80,#A89078
2024-01-07,2024,WV,Venonat,48,#A040A0
2024-01-07,2024,WY,Slowpoke,79,#A89078
2024-01-14,2024,AK,Clefable,36,#F8A8B8
2024-01-14,2024,AL,Ditto,132,#F8A8B8
2024-01-14,2024,AR,Rhyhorn,111,#B8A038
2024-01-14,2024,AZ,Porygon,137,#B8B8D0
2024-01-14,2024,CA,Persian,53,#A89078
2024-01-14,2024,CO,Seel,86,#B8B8D0
2024-01-14,2024,CT,Porygon,137,#B8B8D0
2024-01-14,2024,DC,Metapod,11,#A8B820
2024-01-14,2024,DE,Porygon,137,#B8B8D0
2024-01-14,2024,FL,Porygon,137,#B8B8D0
2024-01-14,2024,GA,Tangela,114,#78C850
2024-01-14,2024,HI,Squirtle,7,#6890F0
2024-01-14,2024,IA,Porygon,137,#B8B8D0
2024-01-14,2024,ID,Porygon,137,#B8B8D0
2024-01-14,2024,IL,Porygon,137,#B8B8D0
2024-01-14,2024,IN,Porygon,137,#B8B8D0
2024-01-14,2024,KS,Ditto,132,#F8A8B8
2024-01-14,2024,KY,Venonat,48,#A040A0
2024-01-14,2024,LA,Ditto,132,#F8A8B8
2024-01-14,2024,MA,Porygon,137,#B8B8D0
2024-01-14,2024,MD,Pinsir,127,#78C850
2024-01-14,2024,ME,Porygon,137,#B8B8D0
2024-01-14,2024,MI,Seel,86,#B8B8D0
2024-01-14,2024,MN,Porygon,137,#B8B8D0
2024-01-14,2024,MO,Porygon,137,#B8B8D0
2024-01-14,2024,MS,Ditto,132,#F8A8B8
2024-01-14,2024,MT,Pinsir,127,#78C850
2024-01-14,2024,NC,Porygon,137,#B8B8D0
2024-01-14,2024,ND,Porygon,137,#B8B8D0
2024-01-14,2024,NE,Porygon,137,#B8B8D0
2024-01-14,2024,NH,Porygon,137,#B8B8D0
2024-01-14,2024,NJ,Porygon,137,#B8B8D0
2024-01-14,2024,NM,Jynx,124,#F8A8B8
2024-01-14,2024,NV,Porygon,137,#B8B8D0
2024-01-14,2024,NY,Ditto,132,#F8A8B8
2024-01-14,2024,OH,Pinsir,127,#78C850
2024-01-14,2024,OK,Porygon,137,#B8B8D0
2024-01-14,2024,OR,Porygon,137,#B8B8D0
2024-01-14,2024,PA,Pinsir,127,#78C850
2024-01-14,2024,RI,Porygon,137,#B8B8D0
2024-01-14,2024,SC,Porygon,137,#B8B8D0
2024-01-14,2024,SD,Dragonair,148,#6890F0
2024-01-14,2024,TN,Seel,86,#B8B8D0
2024-01-14,2024,TX,Pinsir,127,#78C850
2024-01-14,2024,UT,Porygon,137,#B8B8D0
2024-01-14,2024,VA,Pinsir,127,#78C850
2024-01-14,2024,VT,Seel,86,#B8B8D0
2024-01-14,2024,WA,Porygon,137,#B8B8D0
2024-01-14,2024,WI,Porygon,137,#B8B8D0
2024-01-14,2024,WV,Porygon,137,#B8B8D0
2024-01-14,2024,WY,Machoke,67,#A89078
2024-01-21,2024,AK,Electabuzz,125,#F8D030
2024-01-21,2024,AL,Ditto,132,#F8A8B8
2024-01-21,2024,AR,Rhyhorn,111,#B8A038
2024-01-21,2024,AZ,Seel,86,#B8B8D0
2024-01-21,2024,CA,Persian,53,#A89078
2024-01-21,2024,CO,Seel,86,#B8B8D0
2024-01-21,2024,CT,Seel,86,#B8B8D0
2024-01-21,2024,DC,Primeape,57,#A89078
2024-01-21,2024,DE,Lickitung,108,#A89078
2024-01-21,2024,FL,Seel,86,#B8B8D0
2024-01-21,2024,GA,Tangela,114,#78C850
2024-01-21,2024,HI,Primeape,57,#A89078
2024-01-21,2024,IA,Primeape,57,#A89078
2024-01-21,2024,ID,Primeape,57,#A89078
2024-01-21,2024,IL,Primeape,57,#A89078
2024-01-21,2024,IN,Primeape,57,#A89078
2024-01-21,2024,KS,Ditto,132,#F8A8B8
2024-01-21,2024,KY,Ditto,132,#F8A8B8
2024-01-21,2024,LA,Ditto,132,#F8A8B8
2024-01-21,2024,MA,Primeape,57,#A89078
2024-01-21,2024,MD,Kabuto,140,#B8A038
2024-01-21,2024,ME,Primeape,57,#A89078
2024-01-21,2024,MI,Seel,86,#B8B8D0
2024-01-21,2024,MN,Primeape,57,#A89078
2024-01-21,2024,MO,Seel,86,#B8B8D0
2024-01-21,2024,MS,Ditto,132,#F8A8B8
2024-01-21,2024,MT,Seel,86,#B8B8D0
2024-01-21,2024,NC,Seel,86,#B8B8D0
2024-01-21,2024,ND,Electabuzz,125,#F8D030
2024-01-21,2024,NE,Primeape,57,#A89078
2024-01-21,2024,NH,Electabuzz,125,#F8D030
2024-01-21,2024,NJ,Seel,86,#B8B8D0
2024-01-21,2024,NM,Electrode,101,#F8D030
2024-01-21,2024,NV,Primeape,57,#A89078
2024-01-21,2024,NY,Seel,86,#B8B8D0
2024-01-21,2024,OH,Seel,86,#B8B8D0
2024-01-21,2024,OK,Rhydon,112,#B8A038
2024-01-21,2024,OR,Primeape,57,#A89078
2024-01-21,2024,PA,Primeape,57,#A89078
2024-01-21,2024,RI,Primeape,57,#A89078
2024-01-21,2024,SC,Seel,86,#B8B8D0
2024-01-21,2024,SD,Primeape,57,#A89078
2024-01-21,2024,TN,Seel,86,#B8B8D0
2024-01-21,2024,TX,Electrode,101,#F8D030
2024-01-21,2024,UT,Primeape,57,#A89078
2024-01-21,2024,VA,Primeape,57,#A89078
2024-01-21,2024,VT,Seel,86,#B8B8D0
2024-01-21,2024,WA,Primeape,57,#A89078
2024-01-21,2024,WI,Primeape,57,#A89078
2024-01-21,2024,WV,Mr. Mime,122,#F8A8B8
2024-01-21,2024,WY,Electrode,101,#F8D030
2024-01-28,2024,AK,Seel,86,#B8B8D0
2024-01-28,2024,AL,Ditto,132,#F8A8B8
2024-01-28,2024,AR,Pinsir,127,#78C850
2024-01-28,2024,AZ,Seel,86,#B8B8D0
2024-01-28,2024,CA,Persian,53,#A89078
2024-01-28,2024,CO,Seel,86,#B8B8D0
2024-01-28,2024,CT,Pinsir,127,#78C850
2024-01-28,2024,DC,Metapod,11,#A8B820
2024-01-28,2024,DE,Onix,95,#B8A038
2024-01-28,2024,FL,Onix,95,#B8A038
2024-01-28,2024,GA,Seel,86,#B8B8D0
2024-01-28,2024,HI,Ditto,132,#F8A8B8
2024-01-28,2024,IA,Electrode,101,#F8D030
2024-01-28,2024,ID,Electrode,101,#F8D030
2024-01-28,2024,IL,Pinsir,127,#78C850
2024-01-28,2024,IN,Pinsir,127,#78C850
2024-01-28,2024,KS,Ditto,132,#F8A8B8
2024-01-28,2024,KY,Ditto,132,#F8A8B8
2024-01-28,2024,LA,Mew,151,#F8A8B8
2024-01-28,2024,MA,Seel,86,#B8B8D0
2024-01-28,2024,MD,Pinsir,127,#78C850
2024-01-28,2024,ME,Pinsir,127,#78C850
2024-01-28,2024,MI,Seel,86,#B8B8D0
2024-01-28,2024,MN,Seel,86,#B8B8D0
2024-01-28,2024,MO,Seel,86,#B8B8D0
2024-01-28,2024,MS,Ditto,132,#F8A8B8
2024-01-28,2024,MT,Seel,86,#B8B8D0
2024-01-28,2024,NC,Pinsir,127,#78C850
2024-01-28,2024,ND,Electrode,101,#F8D030
2024-01-28,2024,NE,Seel,86,#B8B8D0
2024-01-28,2024,NH,Hypno,97,#E0C068
2024-01-28,2024,NJ,Seel,86,#B8B8D0
2024-01-28,2024,NM,Electrode,101,#F8D030
2024-01-28,2024,NV,Hypno,97,#E0C068
2024-01-28,2024,NY,Seel,86,#B8B8D0
2024-01-28,2024,OH,Pinsir,127,#78C850
2024-01-28,2024,OK,Rhydon,112,#B8A038
2024-01-28,2024,OR,Hypno,97,#E0C068
2024-01-28,2024,PA,Pinsir,127,#78C850
2024-01-28,2024,RI,Tentacool,72,#6890F0
2024-01-28,2024,SC,Seel,86,#B8B8D0
2024-01-28,2024,SD,Seel,86,#B8B8D0
2024-01-28,2024,TN,Seel,86,#B8B8D0
2024-01-28,2024,TX,Electrode,101,#F8D030
2024-01-28,2024,UT,Seel,86,#B8B8D0
2024-01-28,2024,VA,Persian,53,#A89078
2024-01-28,2024,VT,Tentacool,72,#6890F0
2024-01-28,2024,WA,Seel,86,#B8B8D0
2024-01-28,2024,WI,Electrode,101,#F8D030
2024-01-28,2024,WV,Rhydon,112,#B8A038
2024-01-28,2024,WY,Electrode,101,#F8D030
2024-02-04,2024,AK,Dratini,147,#6890F0
2024-02-04,2024,AL,Ditto,132,#F8A8B8
2024-02-04,2024,AR,Dratini,147,#6890F0
2024-02-04,2024,AZ,Dratini,147,#6890F0
2024-02-04,2024,CA,Persian,53,#A89078
2024-02-04,2024,CO,Seel,86,#B8B8D0
2024-02-04,2024,CT,Chansey,113,#F8A8B8
2024-02-04,2024,DC,Persian,53,#A89078
2024-02-04,2024,DE,Dragonair,148,#6890F0
2024-02-04,2024,FL,Onix,95,#B8A038
2024-02-04,2024,GA,Tangela,114,#78C850
2024-02-04,2024,HI,Chansey,113,#F8A8B8
2024-02-04,2024,IA,Dragonair,148,#6890F0
2024-02-04,2024,ID,Electrode,101,#F8D030
2024-02-04,2024,IL,Dratini,147,#6890F0
2024-02-04,2024,IN,Dratini,147,#6890F0
2024-02-04,2024,KS,Electrode,101,#F8D030
2024-02-04,2024,KY,Dratini,147,#6890F0
2024-02-04,2024,LA,Dratini,147,#6890F0
2024-02-04,2024,MA,Electrode,101,#F8D030
2024-02-04,2024,MD,Kabuto,140,#B8A038
2024-02-04,2024,ME,Seel,86,#B8B8D0
2024-02-04,2024,MI,Dratini,147,#6890F0
2024-02-04,2024,MN,Dratini,147,#6890F0
2024-02-04,2024,MO,Seel,86,#B8B8D0
2024-02-04,2024,MS,Dragonair,148,#6890F0
2024-02-04,2024,MT,Seel,86,#B8B8D0
2024-02-04,2024,NC,Dratini,147,#6890F0
2024-02-04,2024,ND,Electrode,101,#F8D030
2024-02-04,2024,NE,Dodrio,85,#A89078
2024-02-04,2024,NH,Dratini,147,#6890F0
2024-02-04,2024,NJ,Dratini,147,#6890F0
2024-02-04,2024,NM,Electrode,101,#F8D030
2024-02-04,2024,NV,Dratini,147,#6890F0
2024-02-04,2024,NY,Dratini,147,#6890F0
2024-02-04,2024,OH,Dratini,147,#6890F0
2024-02-04,2024,OK,Dratini,147,#6890F0
2024-02-04,2024,OR,Chansey,113,#F8A8B8
2024-02-04,2024,PA,Chansey,113,#F8A8B8
2024-02-04,2024,RI,Dragonair,148,#6890F0
2024-02-04,2024,SC,Dratini,147,#6890F0
2024-02-04,2024,SD,Dragonair,148,#6890F0
2024-02-04,2024,TN,Seel,86,#B8B8D0
2024-02-04,2024,TX,Electrode,101,#F8D030
2024-02-04,2024,UT,Dragonair,148,#6890F0
2024-02-04,2024,VA,Persian,53,#A89078
2024-02-04,2024,VT,Seel,86,#B8B8D0
2024-02-04,2024,WA,Seel,86,#B8B8D0
2024-02-04,2024,WI,Dratini,147,#6890F0
2024-02-04,2024,WV,Dragonair,148,#6890F0
2024-02-04,2024,WY,Dratini,147,#6890F0
2024-02-11,2024,AK,Seel,86,#B8B8D0
2024-02-11,2024,AL,Ditto,132,#F8A8B8
2024-02-11,2024,AR,Pinsir,127,#78C850
2024-02-11,2024,AZ,Pinsir,127,#78C850
2024-02-11,2024,CA,Persian,53,#A89078
2024-02-11,2024,CO,Seel,86,#B8B8D0
2024-02-11,2024,CT,Pinsir,127,#78C850
2024-02-11,2024,DC,Seaking,119,#F08030
2024-02-11,2024,DE,Onix,95,#B8A038
2024-02-11,2024,FL,Pinsir,127,#78C850
2024-02-11,2024,GA,Tangela,114,#78C850
2024-02-11,2024,HI,Pinsir,127,#78C850
2024-02-11,2024,IA,Electrode,101,#F8D030
2024-02-11,2024,ID,Electrode,101,#F8D030
2024-02-11,2024,IL,Pinsir,127,#78C850
2024-02-11,2024,IN,Pinsir,127,#78C850
2024-02-11,2024,KS,Seel,86,#B8B8D0
2024-02-11,2024,KY,Hypno,97,#E0C068
2024-02-11,2024,LA,Pinsir,127,#78C850
2024-02-11,2024,MA,Pinsir,127,#78C850
2024-02-11,2024,MD,Pinsir,127,#78C850
2024-02-11,2024,ME,Hypno,97,#E0C068
2024-02-11,2024,MI,Seel,86,#B8B8D0
2024-02-11,2024,MN,Hypno,97,#E0C068
2024-02-11,2024,MO,Hypno,97,#E0C068
2024-02-11,2024,MS,Hypno,97,#E0C068
2024-02-11,2024,MT,Pinsir,127,#78C850
2024-02-11,2024,NC,Pinsir,127,#78C850
2024-02-11,2024,ND,Electrode,101,#F8D030
2024-02-11,2024,NE,Seel,86,#B8B8D0
2024-02-11,2024,NH,Hypno,97,#E0C068
2024-02-11,2024,NJ,Seel,86,#B8B8D0
2024-02-11,2024,NM,Electrode,101,#F8D030
2024-02-11,2024,NV,Hypno,97,#E0C068
2024-02-11,2024,NY,Seel,86,#B8B8D0
2024-02-11,2024,OH,Pinsir,127,#78C850
2024-02-11,2024,OK,Hypno,97,#E0C068
2024-02-11,2024,OR,Hypno,97,#E0C068
2024-02-11,2024,PA,Pinsir,127,#78C850
2024-02-11,2024,RI,Hypno,97,#E0C068
2024-02-11,2024,SC,Pinsir,127,#78C850
2024-02-11,2024,SD,Seel,86,#B8B8D0
2024-02-11,2024,TN,Pinsir,127,#78C850
2024-02-11,2024,TX,Electrode,101,#F8D030
2024-02-11,2024,UT,Seel,86,#B8B8D0
2024-02-11,2024,VA,Pinsir,127,#78C850
2024-02-11,2024,VT,Tentacool,72,#6890F0
2024-02-11,2024,WA,Pinsir,127,#78C850
2024-02-11,2024,WI,Pinsir,127,#78C850
2024-02-11,2024,WV,Hypno,97,#E0C068
2024-02-11,2024,WY,Electrode,101,#F8D030
2024-02-18,2024,AK,Onix,95,#B8A038
2024-02-18,2024,AL,Ditto,132,#F8A8B8
2024-02-18,2024,AR,Goldeen,118,#F08030
2024-02-18,2024,AZ,Seel,86,#B8B8D0
2024-02-18,2024,CA,Persian,53,#A89078
2024-02-18,2024,CO,Seel,86,#B8B8D0
2024-02-18,2024,CT,Seel,86,#B8B8D0
2024-02-18,2024,DC,Seaking,119,#F08030
2024-02-18,2024,DE,Voltorb,100,#F8D030
2024-02-18,2024,FL,Onix,95,#B8A038
2024-02-18,2024,GA,Tangela,114,#78C850
2024-02-18,2024,HI,Venomoth,49,#A040A0
2024-02-18,2024,IA,Voltorb,100,#F8D030
2024-02-18,2024,ID,Electrode,101,#F8D030
2024-02-18,2024,IL,Seel,86,#B8B8D0
2024-02-18,2024,IN,Voltorb,100,#F8D030
2024-02-18,2024,KS,Ditto,132,#F8A8B8
2024-02-18,2024,KY,Voltorb,100,#F8D030
2024-02-18,2024,LA,Venomoth,49,#A040A0
2024-02-18,2024,MA,Seel,86,#B8B8D0
2024-02-18,2024,MD,Seaking,119,#F08030
2024-02-18,2024,ME,Hypno,97,#E0C068
2024-02-18,2024,MI,Seel,86,#B8B8D0
2024-02-18,2024,MN,Seel,86,#B8B8D0
2024-02-18,2024,MO,Seel,86,#B8B8D0
2024-02-18,2024,MS,Hypno,97,#E0C068
2024-02-18,2024,MT,Seel,86,#B8B8D0
2024-02-18,2024,NC,Seel,86,#B8B8D0
2024-02-18,2024,ND,Voltorb,100,#F8D030
2024-02-18,2024,NE,Seel,86,#B8B8D0
2024-02-18,2024,NH,Hypno,97,#E0C068
2024-02-18,2024,NJ,Seel,86,#B8B8D0
2024-02-18,2024,NM,Electrode,101,#F8D030
2024-02-18,2024,NV,Hypno,97,#E0C068
2024-02-18,2024,NY,Seel,86,#B8B8D0
2024-02-18,2024,OH,Seel,86,#B8B8D0
2024-02-18,2024,OK,Growlithe,58,#F08030
2024-02-18,2024,OR,Hypno,97,#E0C068
2024-02-18,2024,PA,Voltorb,100,#F8D030
2024-02-18,2024,RI,Hypno,97,#E0C068
2024-02-18,2024,SC,Venomoth,49,#A040A0
2024-02-18,2024,SD,Voltorb,100,#F8D030
2024-02-18,2024,TN,Seel,86,#B8B8D0
2024-02-18,2024,TX,Electrode,101,#F8D030
2024-02-18,2024,UT,Voltorb,100,#F8D030
2024-02-18,2024,VA,Venomoth,49,#A040A0
2024-02-18,2024,VT,Seel,86,#B8B8D0
2024-02-18,2024,WA,Seel,86,#B8B8D0
2024-02-18,2024,WI,Voltorb,100,#F8D030
2024-02-18,2024,WV,Hypno,97,#E0C068
2024-02-18,2024,WY,Electrode,101,#F8D030
2024-02-25,2024,AK,Ekans,23,#A040A0
2024-02-25,2024,AL,Ditto,132,#F8A8B8
2024-02-25,2024,AR,Electrode,101,#F8D030
2024-02-25,2024,AZ,Sandshrew,27,#E0C068
2024-02-25,2024,CA,Persian,53,#A89078
2024-02-25,2024,CO,Seel,86,#B8B8D0
2024-02-25,2024,CT,Tangela,114,#78C850
2024-02-25,2024,DC,Tangela,114,#78C850
2024-02-25,2024,DE,Voltorb,100,#F8D030
2024-02-25,2024,FL,Onix,95,#B8A038
2024-02-25,2024,GA,Tangela,114,#78C850
2024-02-25,2024,HI,Venusaur,3,#78C850
2024-02-25,2024,IA,Sandshrew,27,#E0C068
2024-02-25,2024,ID,Sandshrew,27,#E0C068
2024-02-25,2024,IL,Sandshrew,27,#E0C068
2024-02-25,2024,IN,Sandshrew,27,#E0C068
2024-02-25,2024,KS,Ditto,132,#F8A8B8
2024-02-25,2024,KY,Sandshrew,27,#E0C068
2024-02-25,2024,LA,Tangela,114,#78C850
2024-02-25,2024,MA,Electrode,101,#F8D030
2024-02-25,2024,MD,Kabuto,140,#B8A038
2024-02-25,2024,ME,Magmar,126,#F08030
2024-02-25,2024,MI,Seel,86,#B8B8D0
2024-02-25,2024,MN,Seel,86,#B8B8D0
2024-02-25,2024,MO,Seel,86,#B8B8D0
2024-02-25,2024,MS,Sandshrew,27,#E0C068
2024-02-25,2024,MT,Sandshrew,27,#E0C068
2024-02-25,2024,NC,Seel,86,#B8B8D0
2024-02-25,2024,ND,Sandshrew,27,#E0C068
2024-02-25,2024,NE,Dodrio,85,#A89078
2024-02-25,2024,NH,Hypno,97,#E0C068
2024-02-25,2024,NJ,Seel,86,#B8B8D0
2024-02-25,2024,NM,Electrode,101,#F8D030
2024-02-25,2024,NV,Cubone,104,#B8A038
2024-02-25,2024,NY,Seel,86,#B8B8D0
2024-02-25,2024,OH,Sandshrew,27,#E0C068
2024-02-25,2024,OK,Cubone,104,#B8A038
2024-02-25,2024,OR,Sandshrew,27,#E0C068
2024-02-25,2024,PA,Voltorb,100,#F8D030
2024-02-25,2024,RI,Voltorb,100,#F8D030
2024-02-25,2024,SC,Nidoking,34,#A040A0
2024-02-25,2024,SD,Voltorb,100,#F8D030
2024-02-25,2024,TN,Seel,86,#B8B8D0
2024-02-25,2024,TX,Electrode,101,#F8D030
2024-02-25,2024,UT,Voltorb,100,#F8D030
2024-02-25,2024,VA,Seel,86,#B8B8D0
2024-02-25,2024,VT,Seel,86,#B8B8D0
2024-02-25,2024,WA,Seel,86,#B8B8D0
2024-02-25,2024,WI,Electrode,101,#F8D030
2024-02-25,2024,WV,Sandshrew,27,#E0C068
2024-02-25,2024,WY,Electrode,101,#F8D030
2024-03-03,2024,AK,Ekans,23,#A040A0
2024-03-03,2024,AL,Ditto,132,#F8A8B8
2024-03-03,2024,AR,Rhyhorn,111,#B8A038
2024-03-03,2024,AZ,Nidoking,34,#A040A0
2024-03-03,2024,CA,Persian,53,#A89078
2024-03-03,2024,CO,Seel,86,#B8B8D0
2024-03-03,2024,CT,Tangela,114,#78C850
2024-03-03,2024,DC,Tangela,114,#78C850
2024-03-03,2024,DE,Onix,95,#B8A038
2024-03-03,2024,FL,Onix,95,#B8A038
2024-03-03,2024,GA,Tangela,114,#78C850
2024-03-03,2024,HI,Grimer,88,#705898
2024-03-03,2024,IA,Scyther,123,#78C850
2024-03-03,2024,ID,Scyther,123,#78C850
2024-03-03,2024,IL,Scyther,123,#78C850
2024-03-03,2024,IN,Scyther,123,#78C850
2024-03-03,2024,KS,Ditto,132,#F8A8B8
2024-03-03,2024,KY,Nidoking,34,#A040A0
2024-03-03,2024,LA,Tangela,114,#78C850
2024-03-03,2024,MA,Scyther,123,#78C850
2024-03-03,2024,MD,Kabuto,140,#B8A038
2024-03-03,2024,ME,Hypno,97,#E0C068
2024-03-03,2024,MI,Seel,86,#B8B8D0
2024-03-03,2024,MN,Grimer,88,#705898
2024-03-03,2024,MO,Scyther,123,#78C850
2024-03-03,2024,MS,Tangela,114,#78C850
2024-03-03,2024,MT,Seel,86,#B8B8D0
2024-03-03,2024,NC,Scyther,123,#78C850
2024-03-03,2024,ND,Electrode,101,#F8D030
2024-03-03,2024,NE,Dodrio,85,#A89078
2024-03-03,2024,NH,Hypno,97,#E0C068
2024-03-03,2024,NJ,Nidoking,34,#A040A0
2024-03-03,2024,NM,Electrode,101,#F8D030
2024-03-03,2024,NV,Scyther,123,#78C850
2024-03-03,2024,NY,Scyther,123,#78C850
2024-03-03,2024,OH,Scyther,123,#78C850
2024-03-03,2024,OK,Scyther,123,#78C850
2024-03-03,2024,OR,Scyther,123,#78C850
2024-03-03,2024,PA,Scyther,123,#78C850
2024-03-03,2024,RI,Scyther,123,#78C850
2024-03-03,2024,SC,Nidoking,34,#A040A0
2024-03-03,2024,SD,Scyther,123,#78C850
2024-03-03,2024,TN,Scyther,123,#78C850
2024-03-03,2024,TX,Electrode,101,#F8D030
2024-03-03,2024,UT,Scyther,123,#78C850
2024-03-03,2024,VA,Scyther,123,#78C850
2024-03-03,2024,VT,Scyther,123,#78C850
2024-03-03,2024,WA,Scyther,123,#78C850
2024-03-03,2024,WI,Scyther,123,#78C850
2024-03-03,2024,WV,Scyther,123,#78C850
2024-03-03,2024,WY,Nidoking,34,#A040A0
2024-03-10,2024,AK,Clefable,36,#F8A8B8
2024-03-10,2024,AL,Ditto,132,#F8A8B8
2024-03-10,2024,AR,Rhyhorn,111,#B8A038
2024-03-10,2024,AZ,Nidoking,34,#A040A0
2024-03-10,2024,CA,Persian,53,#A89078
2024-03-10,2024,CO,Seel,86,#B8B8D0
2024-03-10,2024,CT,Tangela,114,#78C850
2024-03-10,2024,DC,Seaking,119,#F08030
2024-03-10,2024,DE,Lickitung,108,#A89078
2024-03-10,2024,FL,Venonat,48,#A040A0
2024-03-10,2024,GA,Tangela,114,#78C850
2024-03-10,2024,HI,Jigglypuff,39,#F8A8B8
2024-03-10,2024,IA,Scyther,123,#78C850
2024-03-10,2024,ID,Scyther,123,#78C850
2024-03-10,2024,IL,Scyther,123,#78C850
2024-03-10,2024,IN,Venomoth,49,#A040A0
