president,num_rel,num_abs,year,exec_order_signed_date,title
Theodore Roosevelt,9,149,1901,"December 11, 1901",Amending Civil Service Rules Providing that Public Officers Cooperate with Civil Service Commission Investigations
Theodore Roosevelt,10,150,1901,"December 11, 1901",Amending Civil Service Rules to Prohibit Transfer of Persons Who Have not Served Six Months in Classified Position
Theodore Roosevelt,11,151,1901,"December 11, 1901",Amending Civil Service Rules to Provide for Appointment from Incomplete Registers
Theodore Roosevelt,12,152,1901,"December 23, 1901",Amending Civil Service Rules Regarding Age Limitations in Post Office Service
Theodore Roosevelt,13,153,1901,"December 27, 1901",Amending Civil Service Rules Regarding Age Limitations in Post Office Service for War Veterans
Theodore Roosevelt,14,154,1902,"January 18, 1902",Authorizing Appointment of Assistant Commissioner of Immigrations in New York Without Examination
Theodore Roosevelt,15,155,1902,"January 20, 1902",Amending Civil Service Rules Regarding Exceptions from Examination for Draftsmen in Navy Department
Theodore Roosevelt,16,156,1902,"January 21, 1902",Amending Civil Service Rules Regarding Age Limitations in Coast and Geodetic Survey
Theodore Roosevelt,17,157,1902,"January 23, 1902",Amending Civil Service Rules to Except Four Interior Department Special Inspectors from Examination
Theodore Roosevelt,18,158,1902,"January 23, 1902",Amending Civil Service Rules to Remove Provision Allowing Reinstatement After Dismissal
Theodore Roosevelt,19,159,1902,"January 23, 1902",Amending Civil Service Rules to Prohibit Transfers Except to Positions in Same Class
Theodore Roosevelt,20,160,1902,"January 23, 1902",Requiring that Lists of All Positions Deemed Unclassified be Submitted to Civil Service Commission
Theodore Roosevelt,21,161,1902,"January 24, 1902",Amending Civil Service Rules Regarding Temporary Appointments
Theodore Roosevelt,22,162,1902,"January 24, 1902",Designating Reception Committee for Prince Henry of Prussia
Theodore Roosevelt,23,163,1902,"January 31, 1902",Soliciting Increase in Pay or Influencing Legislation by Employees of the United States
Theodore Roosevelt,24,164,1902,"February 4, 1902",Amending Civil Service Rules Allowing Transfers of Certain Personnel in Treasury Department
Theodore Roosevelt,25,165,1902,"February 7, 1902","John P. Green, Classified as Postage Stamp Agent Without Examination or Certification in Regard to Civil Service Rules"
Theodore Roosevelt,26,166,1902,"February 8, 1902",Amending Civil Service Rules to Except from Classification Certain Marine Hospital Service Personnel
Theodore Roosevelt,27,167,1902,"March 10, 1902","Amending Consular Regulations of 1896, Paragraph 692, Regarding Currency Certificates"
Theodore Roosevelt,28,168,1902,"March 13, 1902",Amending Civil Service Rules to Require Examination Before Transfer from Positions which Became Classified
Theodore Roosevelt,29,169,1902,"March 13, 1902",Amending Civil Service Rules Regarding Transfer After Reinstatement
Theodore Roosevelt,30,170,1902,"March 24, 1902",Amending Consular Regulations Regarding Appointments to Office from Foreign States
Theodore Roosevelt,31,171,1902,"April 25, 1902",Forbidding Criticisms of Diplomatic and Consular Service Officers by Others in Either Service Unless Confidential
Theodore Roosevelt,32,172,1902,"April 30, 1902",Amending Civil Service Rules Regarding Exceptions from Examination for Certain Workers in Navy Department
Theodore Roosevelt,33,173,1902,"May 29, 1902","Declaration of the Meaning of Section 8, Rule II, of the Civil Service Rules"
Theodore Roosevelt,34,174,1902,"June 2, 1902",Authorizing Appointment of Assistant Commissioner of Immigration in New York Without Examination
Theodore Roosevelt,35,175,1902,"June 21, 1902",Authorizing Transfer of Alexander C. Caine as Disbursing Clerk in Justice Department Without Regard to Civil Service Rules
Theodore Roosevelt,36,176,1902,"June 28, 1902",Amending Civil Service Rules to Make Certain Aliens Qualify for Copperplate Map Engraver Position
Theodore Roosevelt,37,177,1902,"July 3, 1902",Amending Civil Service Rules Regarding Recommendations for Promotion
Theodore Roosevelt,38,178,1902,"July 3, 1902",Prescribing Manner for Appointment of Unclassified Laborers in Executive Departments and Independent Officers
Theodore Roosevelt,39,179,1902,"July 3, 1902",Amending Civil Service Rules to Allow Transfer of Certain Former Employees in the Military Government in Cuba
Theodore Roosevelt,40,180,1902,"July 19, 1902",Permitting Issuance of Passports to Residents of Insular Possessions of United States
Theodore Roosevelt,41,181,1902,"July 19, 1902",Rules Governing the Granting and Issuing of Passports in the United States
Theodore Roosevelt,42,182,1902,"July 19, 1902",Rules Governing the Granting and Issuing of Passports in the Insular Possessions of the United States
Theodore Roosevelt,43,183,1902,"July 21, 1902",Amending Civil Service Rules to Except Clerk in New York Immigration Office from Examination
Theodore Roosevelt,44,184,1902,"July 21, 1902",Amending Civil Service Rules to Except Lawyer in New York Immigration Office from Examination
Theodore Roosevelt,45,185,1902,"July 30, 1902",Amending Civil Service Rules to Except War Department Clerk in White House Duty from Examination
Theodore Roosevelt,46,186,1902,"August 2, 1902",Amending Civil Service Rules to Except Solicitor at Port of New York from Examination
Theodore Roosevelt,47,187,1902,"August 16, 1902",Amending Civil Service Rules to Except from Classification Temporary Marine Hospital Service Personnel
Theodore Roosevelt,48,188,1902,"September 4, 1902",Directing that Raplie M. Cheshire be Recertified for Appointment
Theodore Roosevelt,49,189,1902,"September 4, 1902",Authorizing Appointment of David Lynch for Duty in the Signal Service Without Examination Under Civil Service Rules
Theodore Roosevelt,50,190,1902,"September 10, 1902","Closing of all Executive Departments for Observance of the Grand Army of the Republic Parade, October 8, 1902"
Theodore Roosevelt,51,191,1902,"October 4, 1902",Authorizing Retention of Workers on Government Printing Office Building Construction Without Regard to Civil Service Rules During Work on War College and Washington Barracks
Theodore Roosevelt,52,192,1902,"October 14, 1902",Amending Civil Service Rules Regarding Apportionment Striking Section 6 of Rule VIII
Theodore Roosevelt,53,193,1902,"October 18, 1902",Ordering Reaffirmation and Enforcement of Regulations Governing the Soliciting of Contributions for Political Purposes by and From Government Officers or Employees
Theodore Roosevelt,54,194,1902,"November 6, 1902","Amending Consular Regulations of 1896, Paragraph 660, to Except Gold or Silver Bullion as Money or Currency"
Theodore Roosevelt,55,194-A,1902,"December 8, 1902",Duties of Secretary to the President Defined
Theodore Roosevelt,56,195,1902,"December 23, 1902",Authorizing Appointment of F. L. Templeton as Clerk in Post Office Department Without Regard to Civil Service Rules
Theodore Roosevelt,57,196,1902,"December 27, 1902",Authorizing Appointment of Charles W. Newton as Physician in Western Navajo Agency Without Examination
Theodore Roosevelt,58,197,1903,"January 7, 1903",Authorizing Reinstatement of Stainslaus M. Hamilton as Clerk in Department of State Without Regard to Civil Service Rules
Theodore Roosevelt,59,198,1903,"January 10, 1903",Authorizing Extension of Temporary Appointment of Eight Clerks in Internal Revenue Service for Sixty Days
Theodore Roosevelt,60,199,1903,"January 19, 1903",Amending Civil Service Rules to Require Certification of Laborers Who Perform Work of Grade of Classified Employees
Theodore Roosevelt,61,199-A,1903,"January 20, 1903",Placing the Midway Islands Under the Jurisdiction and Control of the Navy Department
Theodore Roosevelt,62,200,1903,"January 21, 1903",Amending Civil Service Rules to Prohibit Certain Transfers if Position Can be Filled by Promotion
Theodore Roosevelt,63,201,1903,"January 30, 1903",Authorizing Appointment of F. A. Collins as Private Secretary to the Public Printer Without Examination
Theodore Roosevelt,64,202,1903,"February 6, 1903",Authorizing Reinstatement of Oscar Wenderoth as Senior Draftsman in Treasury Department Without Regard to Civil Service Rules
Theodore Roosevelt,65,203,1903,"February 11, 1903",Authorizing Permanent Appointment of Temporary Clerks at Naval Stations in Insular Possessions
Theodore Roosevelt,66,204,1903,"February 19, 1903",Removing Civil Service Rule Provision which Allowed Aliens to Qualify for Copperplate Map Engraver Position
Theodore Roosevelt,67,205,1903,"March 7, 1903",Authorizing Appointment of Translator in Bureau of Insular Affairs Without Examination
Theodore Roosevelt,68,206,1903,"March 9, 1903",Transferring Revolutionary Archives from the State Department to the Library of Congress
Theodore Roosevelt,69,207,1903,"March 9, 1903",Authorizing Appointment of Horatio C. Pollock as Clerk at Military Headquarters in Philippine Islands Without Examination
Theodore Roosevelt,70,208,1903,"March 12, 1903",Authorizing Appointment of William J. Lee as Telegrapher in Department of Commerce and Labor Without Examination
Theodore Roosevelt,71,209,1903,"March 20, 1903","Prescribing Civil Service Rules in Lieu of Rules of May 6, 1896"
Theodore Roosevelt,72,210,1903,"March 26, 1903","Appointment of Unclassified Laborers Outside of Washington, D.C."
Theodore Roosevelt,73,211,1903,"March 26, 1903",Authorizing Appointment of James A. Dumont as Inspector of Hulls in Steamboat Inspection Service Without Regard to Civil Service Rules
Theodore Roosevelt,74,212,1903,"March 30, 1903",Authorizing Transfer of Exum L. Holland to Inspector in Customs Service Without Regard to Civil Service Rules
Theodore Roosevelt,75,213,1903,"March 31, 1903","Clarifying that Civil Service Rules of March 20, 1903 do not give Permanent Appointment to Employees Serving under Rule VIII, Sections 13-16 of Rules of 1896"
Theodore Roosevelt,76,214,1903,"March 31, 1903",Requiring Executive Departments to Furnish Information to Secretary of the Interior for Preparation of Official Register
Theodore Roosevelt,77,215,1903,"April 29, 1903",Authorizing Appointment of Albert U. Wyman as Clerk in Office of the Treasurer Without Examination
Theodore Roosevelt,78,216,1903,"April 29, 1903",Authorizing Permanent Appointment of Lucas Blanco as Messenger in Customs Service Without Examination
Theodore Roosevelt,79,217,1903,"June 6, 1903","Amending Consular Regulations of 1896, Paragraph 463, on Issuance of Circulars"
Theodore Roosevelt,80,218,1903,"June 29, 1903","Certain Property at Ponce, Mayaguez, and San Juan, Porto Rico, Reserved for Use of Courts, District Attorney, and Marshal"
Theodore Roosevelt,81,219,1903,"June 30, 1903",Reserving Certain Lands in Puerto Rico for Naval Purposes; Submission of Memoranda of Understanding Concerning Use of Said Lands by Secretary of Navy and Governor of Puerto Rico Permitted
Theodore Roosevelt,82,220,1903,"June 30, 1903","Eliminating Lands and Building Known as The Presidio, San Juan, Porto Rico, from Operation of Proclamation of June 26, 1903"
Theodore Roosevelt,83,221,1903,"July 3, 1903",Authorizing Reinstatement of Charles B. Terry as Clerk in Post Office Department Without Examination
Theodore Roosevelt,84,222,1903,"July 8, 1903",Prescribing Manner of Examination for Unskilled Labor Positions and Veterans of the Civil War
Theodore Roosevelt,85,223,1903,"July 13, 1903",Authorizing Appointment of Ten Persons to Positions in Department of Commerce and Labor Without Examination
Theodore Roosevelt,86,224,1903,"July 25, 1903",Authorizing Reinstatement of Sarah McLanahan as Sewer in Government Printing Office Without Regard to Civil Service Rules
Theodore Roosevelt,87,225,1903,"July 29, 1903",Approving the Extension of Certain Temporary Employees Without Regard to Civil Service Rules
Theodore Roosevelt,88,226,1903,"July 29, 1903",Authorizing Reinstatement of Annie M. West and Sadie B. Yates to Positions in Government Printing Office
Theodore Roosevelt,89,227,1903,"July 30, 1903",Authorizing Appointment of Luther M. Walter as Law Clerk in Interstate Commerce Commission Upon Noncompetitive Examination
Theodore Roosevelt,90,228,1903,"August 1, 1903","Extending Time Limit for Completion of Work of the Spanish Treaty Claims Commission to March 2, 1904"
Theodore Roosevelt,91,229,1903,"August 9, 1903",Authorizing Appointment of Julia W. Wellborn as Clerk in the Geological Survey Without Examination
Theodore Roosevelt,92,230,1903,"August 10, 1903",Amending Civil Service Rules Regarding Exceptions from Examination
Theodore Roosevelt,93,231,1903,"August 17, 1903",Authorizing Employment of Allen Hazen as Engineer in Washington Filtration Plant for Two Years
Theodore Roosevelt,94,232,1903,"August 20, 1903",Authorizing Appointment of Dr. William A. White as Superintendent of the Government Hospital for the Insane Without Examination
Theodore Roosevelt,95,233,1903,"August 26, 1903","Authorizing Transfer of W. E. Lackland to Post-Office at Prescott, Arizona, Without Regard to Civil Service Rules"
Theodore Roosevelt,96,234,1903,"August 27, 1903",Authorizing Reinstatement of Emma J. Rawlings as Teller in the Treasury Department
Theodore Roosevelt,97,235,1903,"September 12, 1903",Rules Governing the Granting and Issuing of Passports in the United States
Theodore Roosevelt,98,236,1903,"October 9, 1903",Authorizing Appointment of Clarence A. Cook as Special Agent in Department of Commerce and Labor Without Examination
Theodore Roosevelt,99,237,1903,"October 23, 1903",Authorizing Reinstatement of Lillian B. Kellogg as Sewer in Government Printing Office Without Regard to Civil Service Rules
Theodore Roosevelt,100,238,1903,"November 2, 1903",Authorizing Appointment of Mrs. Roy L. Quackenbush as Clerk in Post Office Department Without Examination
Theodore Roosevelt,101,239,1903,"December 4, 1903",Authorizing Appointment of Francis L. Hawes as Special Agent in Bureau of Corporations Without Examination
Theodore Roosevelt,102,240,1903,"December 5, 1903",Prohibiting Use of Official Letterheads and Signatures by Consular Officers on Private Correspondence
Theodore Roosevelt,103,241,1903,"December 9, 1903","Reserving All Lands on Certain Alaska Islands, including Kiska Island, Little Kiska Island, and Adjacent Islets For Naval Purposes"
Theodore Roosevelt,104,242,1903,"December 28, 1903",Authorizing Reinstatement of Mrs. Frank L. Harrigan as Machine Feeder in Government Printing Office Without Regard to Civil Service Rules
Theodore Roosevelt,105,243,1904,"January 4, 1904",Authorizing Reinstatement of Evelyn M. Ford as Clerk in the War Department Without Regard to Civil Service Rules
Theodore Roosevelt,106,244,1904,"January 7, 1904",Authorizing Appointment of Mrs. G. W. Shipman as Clerk in Office of the First Assistant Postmaster-General Without Examination
Theodore Roosevelt,107,245,1904,"January 9, 1904",Authorizing Reinstatement of Elizabeth C. Peters as Sewer in Government Printing Office Without Regard to Civil Service Rules
Theodore Roosevelt,108,246,1904,"January 12, 1904","Extending Time Limit for Completion of Work of the Spanish Treaty Claims Commission to September 2, 1904"
Theodore Roosevelt,109,247,1904,"January 27, 1904",Authorizing Appointment of E. W. Libbey as Operator in Department of Commerce and Labor without Examination
Theodore Roosevelt,110,248,1904,"February 1, 1904",Authorizing Reinstatement of Kate L. Croggan as Sewer in Government Printing Office Without Regard to Civil Service Rules
Theodore Roosevelt,111,249,1904,"February 5, 1904",Authorizing Employment of James M. Cooper and Ralston Williams by Medical Board Investigating Typhoid Fever
Theodore Roosevelt,112,250,1904,"February 5, 1904","Revoking Special Civil Service Rule of July 3, 1902, Pertaining to Persons Formerly Employed in Military Government of Cuba"
Theodore Roosevelt,113,251,1904,"February 8, 1904","Allowing Transfer of Matthew J. McCarty to Non-Expected Position of Deputy Surveyor and Inspector at Customs Port of Syracuse, N.Y., Without Examination"
Theodore Roosevelt,114,252,1904,"February 17, 1904",Authorizing Certification of Marie L. Baldwin as Clerk in Office of Indian Affairs Without Regard to Civil Service Rules
Theodore Roosevelt,115,253,1904,"February 17, 1904",Amending Civil Service Rules to Except Commissioners of National Military Parks from Examination
Theodore Roosevelt,116,254,1904,"February 18, 1904","Ordering federal Offices in Ohio Closed on February 19, 1904 for Funeral Services of Marcus A. Hanna"
Theodore Roosevelt,117,255,1904,"February 25, 1904",Authorizing Appointment of Francis Walker as Special Agent in Bureau of Corporations Without Examination
Theodore Roosevelt,118,256,1904,"March 1, 1904",Designating All Position Except Laborers in Civil Service of War Department in Philippines as Classified Under Civil Service Rules
Theodore Roosevelt,119,257,1904,"March 4, 1904",Authorizing Transfer of Merrit O. Chance to Superintendent in Post Office Department Without Examination
Theodore Roosevelt,120,258,1904,"March 10, 1904","Further Reaffirming the Observance of Proclamation of February 11, 104 by All Officials of the Government"
Theodore Roosevelt,121,259,1904,"March 26, 1904",Amending Civil Service Rules Regarding Physicians in Indian Service
Theodore Roosevelt,122,260,1904,"May 18, 1904",Authorizing Reinstatement of Katherine C. Masterson in Government Printing Office Without Regard to Civil Service Rules
Theodore Roosevelt,123,261,1904,"May 26, 1904",Authorizing Appointment of I. B. Conklin as Clerk in Washington Navy Yard Without Examination
Theodore Roosevelt,124,262,1904,"June 13, 1904",Amending Civil Service Rules Regarding Promotion to Former Positions
Theodore Roosevelt,125,263,1904,"June 17, 1904",Authorizing Appointment of Samuel D. Amen as Internal Revenue Agent Without Regard to Civil Service Rules
Theodore Roosevelt,126,264,1904,"June 23, 1904",Authorizing Appointment of Dr. William L. Ralph as Curator in National Museum Without Examination
Theodore Roosevelt,127,265,1904,"June 24, 1904",Authorizing Appointment of Clarence Reeder as Secretary to the Director of the Geological Survey Without Examination
Theodore Roosevelt,128,266,1904,"June 29, 1904",Authorizing Permanent Appointment of Edna K. Hoyt as Clerk in Department of State Without Examination
Theodore Roosevelt,129,267,1904,"July 30, 1904","Extending Time Limit for Completion of Work of the Spanish Treaty Claims Commission to March 2, 1905"
Theodore Roosevelt,130,268,1904,"August 6, 1904",Authorizing Appointment of James E. S. Kinsella as Minor Under Instruction in Navy Yard Without Regard to Navy Yard Order No. 13
Theodore Roosevelt,131,269,1904,"August 9, 1904",Authorizing Promotion of Ludwick C. Young to Clerk in Census Office Without Examination
Theodore Roosevelt,132,270,1904,"August 19, 1904",Authorizing Permanent Appointment of Dr. William Conyngton as Physician at Grand River Indian School After Special Examination'
Theodore Roosevelt,133,271,1904,"October 5, 1904","Ordering Mourning Formalities for Death of Henry Clay Payne, Postmaster General"
Theodore Roosevelt,134,272,1904,"November 9, 1904","Authorizing Appointment of Luther Conant, Jr., as Special Examiner in Bureau of Corporations Without Examination"
Theodore Roosevelt,135,273,1904,"November 15, 1904",Amending Civil Service Rules Regarding Positions Excepted from Examination for Isthmian Canal Commission Personnel
Theodore Roosevelt,136,274,1904,"November 15, 1904",Applying Civil Service Rules to Employees of Isthmian Canal Commission
Theodore Roosevelt,137,275,1904,"November 15, 1904","Regulations Governing the Appointment of Unclassified Laborers in the Departments at Washington, D.C."
Theodore Roosevelt,138,276,1904,"November 21, 1904",Authorizing Permanent Appointment of Clare A. Cooper as Matron in Immigration Service Without Examination
Theodore Roosevelt,139,277,1904,"November 23, 1904",Amending Civil Service Rules to Make Treasury Department Cashiers and Deputies Subject to Examination
Theodore Roosevelt,140,278,1904,"November 29, 1904",Designating Substitute Watchmen in Government Printing Office as Classified Under Civil Service Rules
Theodore Roosevelt,141,279,1904,"November 29, 1904",Prohibiting Appointment in Executive Departments for Any Service of Character Performed by Classified Employees Except Under Civil Service Rules
Theodore Roosevelt,142,280,1904,"November 30, 1904",Authorizing Appointment of James Rankin Young as Superintendent of Dead Letter Office Without Examination
Theodore Roosevelt,143,281,1904,"November 30, 1904",Authorizing Permanent Appointment of Marcus Braun as Inspector in Immigration Service Without Examination
Theodore Roosevelt,144,282,1904,"November 30, 1904",Authorizing Permanent Appointment of Joseph Watkinson as Assistant Inspector in Steamboat Inspection Service Without Examination
Theodore Roosevelt,145,283,1904,"December 8, 1904",Waving Civil Service Requirements of United States Citizenship for Positions on Isthmus of Panama
Theodore Roosevelt,146,284,1904,"December 12, 1904","Authorizing Permanent Appointment of Mrs. William H. Tabberah as Keeper of the Cumberland Head Light Station, New York, Without Examination"
Theodore Roosevelt,147,285,1904,"December 12, 1904","Regulations to Govern the Employment of Unskilled Laborers in the Federal Offices Outside of Washington, D. C."
Theodore Roosevelt,148,286,1904,"December 17, 1904",Classifying Employees of General Land Office of the Interior Department Involved in Protection of Forestry Reserves
Theodore Roosevelt,149,287,1904,"December 24, 1904",Amending Civil Service Rules to Except from Examination a Consulting Architect in the War Department for Work on the United States Military Academy
Theodore Roosevelt,150,288,1904,"December 24, 1904",Authorizing Permanent Appointment for Thirteen Clerks in the Bureau of the Census
Theodore Roosevelt,151,288½,1904,"December 31, 1904",Forbidding Notaries Public in Government Service to Charge Fees for Notarial Acts
Theodore Roosevelt,152,289,1905,"January 5, 1905",Amending Civil Service Rules to Add Further Excepted Positions on Isthmus of Panama
Theodore Roosevelt,153,290,1905,"January 12, 1905","Classification of Certain Laborers Employed in the City of Washington, District of Columbia"
Theodore Roosevelt,154,291,1905,"January 24, 1905",Amending Civil Service Rules Regarding Exceptions from Examination for Customs Service Positions in Alaska
Theodore Roosevelt,155,292,1905,"January 31, 1905","Extending Time Limit for Completion of Work of the Spanish Treaty Claims Commission to September 2, 1905"
Theodore Roosevelt,156,293,1905,"February 6, 1905",Authorizing Transfer of Stephen W. Fuller to Messenger in Department of Commerce and Labor Without Regard to Civil Service Rules
Theodore Roosevelt,157,294,1905,"February 15, 1905",Waiving Citizenship Requirements for Applicants for Examination for Officers of Ships of the Coast and Geodetic Survey on Duty in the Philippines
Theodore Roosevelt,158,295,1905,"February 15, 1905",Authorizing Reinstatement of George F. Otis as Clerk in Quartermaster's Department Without Regard to Civil Service Rules
Theodore Roosevelt,159,296,1905,"March 1, 1905","Ordering Formation of a Commission to Investigate the Naturalization of Aliens Under Existing Laws and to Report its Findings No Later than November 15, 1905"
Theodore Roosevelt,160,296-A,1905,"March 9, 1905","Creating Stump Lake Reservation, North Dakota, as Preserve and Breeding Ground for Birds"
Theodore Roosevelt,161,297,1905,"March 2, 1905",Authorizing Reinstatement of John Nolan as Carrier in Postal Service Without Regard to Civil Service Rules
Theodore Roosevelt,162,298,1905,"March 3, 1905",Amending Civil Service Rules to Make Certain Interior Department Positions Subject to Examination
Theodore Roosevelt,163,299,1905,"March 3, 1905",Amending Civil Service Rules to Except Five Special Agents in Interior Department from Examination
Theodore Roosevelt,164,300,1905,"March 3, 1905",Amending Civil Service Rules to Except Physicians in Indian Service from Examination
Theodore Roosevelt,165,301,1905,"March 3, 1905",Amending Civil Service Rules to Allow Appointment of Retired Army Officers as Superintendents at Indian Schools Without Examination
Theodore Roosevelt,166,302,1905,"March 10, 1905",Authorizing Appointment of Donald G. Mitchell as Supervisor in Interior Department Without Examination
