president,num_rel,num_abs,year,exec_order_signed_date,title,start_date,num,days_in_office
William McKinley,32,125,1900,1900-01-29,Amending Civil Service Rules Regarding Promotion of War Veterans,1897-03-04,25,1062
William McKinley,33,125-A,1900,1900-02-19,Placing Certain Islands of the Samoan Group Under the Control of the Navy Department,1897-03-04,25,1083
William McKinley,34,126,1900,1900-03-16,Amending Civil Service Rules Regarding Retransfer of Certain People from Unclassified to Classified Service,1897-03-04,25,1108
William McKinley,35,127,1900,1900-03-16,Amending Civil Service Rules Regarding Transfer from Expected to Non-Expected Positions,1897-03-04,25,1108
William McKinley,36,128,1900,1900-03-29,Amending Civil Service Rules Regarding Age Limitation,1897-03-04,25,1121
William McKinley,37,129,1900,1900-04-17,Amending Civil Service Rules Regarding Transfer from Expected to Non-Expected Positions,1897-03-04,25,1140
William McKinley,38,130,1900,1900-05-24,Amending Civil Service Rules With Special rule Permitting Certain Navy employees to be Transferred as Civilians,1897-03-04,25,1177
William McKinley,39,130-A,1900,1900-06-22,Approving Franchise Granted by Republic of Hawaii to First American Bank of Hawaii,1897-03-04,25,1206
William McKinley,40,130-B,1900,1900-06-22,Approving Franchise Granted by Republic of Hawaii to Hilo Railroad Company,1897-03-04,25,1206
William McKinley,41,130-C,1900,1900-06-22,Approving Franchise Granted by Republic of Hawaii to Kohala and Hilo Railroad Company,1897-03-04,25,1206
William McKinley,42,130-D,1900,1900-06-25,Approving franchise Granted by Republic of Hawaii to Honolulu Rapid Transit and Land Company,1897-03-04,25,1209
William McKinley,43,131,1900,1900-06-29,Amending Civil Service Rules to Except All Paymasters' Clerks from Examination,1897-03-04,25,1213
William McKinley,44,132,1900,1900-07-13,Consular Court Fees and fines Made Official,1897-03-04,25,1227
William McKinley,45,133,1900,1900-11-20,Amending Civil Service Rules Regarding Exceptions from Examination for Draftsmen in Navy Department,1897-03-04,25,1357
William McKinley,46,134,1900,1900-11-30,Civil Service Commission Directed to Assist Philippine Civil Service Board,1897-03-04,25,1367
William McKinley,47,135,1901,1901-01-31,Amending Consular Regulations Regarding Expiration of Passports,1897-03-04,25,1429
William McKinley,48,136,1901,1901-02-26,Amending Civil Service Rules Regarding Age Limitations in Light-House Service,1897-03-04,25,1455
William McKinley,49,137,1901,1901-03-02,Amending Civil Service Rules to Except Chinese Interpreters in Treasury Department from Examination',1897-03-04,25,1459
William McKinley,50,138,1901,1901-03-25,Providing that Fees be Collected for Bills of Health Issued to Foreign War Vessels,1897-03-04,25,1482
William McKinley,51,139,1901,1901-04-06,Granting Half-Holiday for Civil War and Spanish-American War Veterans in Government Service to Attend Ceremonies Honoring General John A. Logan,1897-03-04,25,1494
William McKinley,52,140,1901,1901-07-31,Amending Civil Service Rules Regarding Age Limitations in Post Office Service,1897-03-04,25,1610
Theodore Roosevelt,1,141,1901,1901-10-31,Authorizing Appointment of Clerk in Pension Agency in Philadelphia Without Examination,1901-09-14,26,48
Theodore Roosevelt,2,142,1901,1901-11-01,Authorizing Appointment of Steward in White House Without Examination,1901-09-14,26,49
Theodore Roosevelt,3,143,1901,1901-11-06,Authorizing Appointment of Coachman in Navy Department Without Examination,1901-09-14,26,54
Theodore Roosevelt,4,144,1901,1901-11-18,Amending Civil Service Rules to Make Certain United States Army Positions Subject to Classification,1901-09-14,26,66
Theodore Roosevelt,5,145,1901,1901-11-26,Amending Civil Service Rules Permitting Superintendents of Indian Training Schools to be Classified,1901-09-14,26,74
Theodore Roosevelt,6,146,1901,1901-11-26,Amending Civil Service Rules Regarding Wavier of Apportionment Provisions for Transfers,1901-09-14,26,74
Theodore Roosevelt,7,147,1901,1901-11-27,Amending Civil Service Rules Regarding Classification of Post Office Personnel,1901-09-14,26,75
Theodore Roosevelt,8,148,1901,1901-12-11,Prescribing Procedure for Dismissal of Persons in Violation of Civil Service Act or Rules,1901-09-14,26,89
Theodore Roosevelt,9,149,1901,1901-12-11,Amending Civil Service Rules Providing that Public Officers Cooperate with Civil Service Commission Investigations,1901-09-14,26,89
Theodore Roosevelt,10,150,1901,1901-12-11,Amending Civil Service Rules to Prohibit Transfer of Persons Who Have not Served Six Months in Classified Position,1901-09-14,26,89
Theodore Roosevelt,11,151,1901,1901-12-11,Amending Civil Service Rules to Provide for Appointment from Incomplete Registers,1901-09-14,26,89
Theodore Roosevelt,12,152,1901,1901-12-23,Amending Civil Service Rules Regarding Age Limitations in Post Office Service,1901-09-14,26,101
Theodore Roosevelt,13,153,1901,1901-12-27,Amending Civil Service Rules Regarding Age Limitations in Post Office Service for War Veterans,1901-09-14,26,105
Theodore Roosevelt,14,154,1902,1902-01-18,Authorizing Appointment of Assistant Commissioner of Immigrations in New York Without Examination,1901-09-14,26,127
Theodore Roosevelt,15,155,1902,1902-01-20,Amending Civil Service Rules Regarding Exceptions from Examination for Draftsmen in Navy Department,1901-09-14,26,129
Theodore Roosevelt,16,156,1902,1902-01-21,Amending Civil Service Rules Regarding Age Limitations in Coast and Geodetic Survey,1901-09-14,26,130
Theodore Roosevelt,17,157,1902,1902-01-23,Amending Civil Service Rules to Except Four Interior Department Special Inspectors from Examination,1901-09-14,26,132
Theodore Roosevelt,18,158,1902,1902-01-23,Amending Civil Service Rules to Remove Provision Allowing Reinstatement After Dismissal,1901-09-14,26,132
Theodore Roosevelt,19,159,1902,1902-01-23,Amending Civil Service Rules to Prohibit Transfers Except to Positions in Same Class,1901-09-14,26,132
Theodore Roosevelt,20,160,1902,1902-01-23,Requiring that Lists of All Positions Deemed Unclassified be Submitted to Civil Service Commission,1901-09-14,26,132
Theodore Roosevelt,21,161,1902,1902-01-24,Amending Civil Service Rules Regarding Temporary Appointments,1901-09-14,26,133
Theodore Roosevelt,22,162,1902,1902-01-24,Designating Reception Committee for Prince Henry of Prussia,1901-09-14,26,133
Theodore Roosevelt,23,163,1902,1902-01-31,Soliciting Increase in Pay or Influencing Legislation by Employees of the United States,1901-09-14,26,140
Theodore Roosevelt,24,164,1902,1902-02-04,Amending Civil Service Rules Allowing Transfers of Certain Personnel in Treasury Department,1901-09-14,26,144
Theodore Roosevelt,25,165,1902,1902-02-07,"John P. Green, Classified as Postage Stamp Agent Without Examination or Certification in Regard to Civil Service Rules",1901-09-14,26,147
Theodore Roosevelt,26,166,1902,1902-02-08,Amending Civil Service Rules to Except from Classification Certain Marine Hospital Service Personnel,1901-09-14,26,148
Theodore Roosevelt,27,167,1902,1902-03-10,"Amending Consular Regulations of 1896, Paragraph 692, Regarding Currency Certificates",1901-09-14,26,178
Theodore Roosevelt,28,168,1902,1902-03-13,Amending Civil Service Rules to Require Examination Before Transfer from Positions which Became Classified,1901-09-14,26,181
Theodore Roosevelt,29,169,1902,1902-03-13,Amending Civil Service Rules Regarding Transfer After Reinstatement,1901-09-14,26,181
Theodore Roosevelt,30,170,1902,1902-03-24,Amending Consular Regulations Regarding Appointments to Office from Foreign States,1901-09-14,26,192
Theodore Roosevelt,31,171,1902,1902-04-25,Forbidding Criticisms of Diplomatic and Consular Service Officers by Others in Either Service Unless Confidential,1901-09-14,26,224
Theodore Roosevelt,32,172,1902,1902-04-30,Amending Civil Service Rules Regarding Exceptions from Examination for Certain Workers in Navy Department,1901-09-14,26,229
Theodore Roosevelt,33,173,1902,1902-05-29,"Declaration of the Meaning of Section 8, Rule II, of the Civil Service Rules",1901-09-14,26,258
Theodore Roosevelt,34,174,1902,1902-06-02,Authorizing Appointment of Assistant Commissioner of Immigration in New York Without Examination,1901-09-14,26,262
Theodore Roosevelt,35,175,1902,1902-06-21,Authorizing Transfer of Alexander C. Caine as Disbursing Clerk in Justice Department Without Regard to Civil Service Rules,1901-09-14,26,281
Theodore Roosevelt,36,176,1902,1902-06-28,Amending Civil Service Rules to Make Certain Aliens Qualify for Copperplate Map Engraver Position,1901-09-14,26,288
Theodore Roosevelt,37,177,1902,1902-07-03,Amending Civil Service Rules Regarding Recommendations for Promotion,1901-09-14,26,293
Theodore Roosevelt,38,178,1902,1902-07-03,Prescribing Manner for Appointment of Unclassified Laborers in Executive Departments and Independent Officers,1901-09-14,26,293
Theodore Roosevelt,39,179,1902,1902-07-03,Amending Civil Service Rules to Allow Transfer of Certain Former Employees in the Military Government in Cuba,1901-09-14,26,293
Theodore Roosevelt,40,180,1902,1902-07-19,Permitting Issuance of Passports to Residents of Insular Possessions of United States,1901-09-14,26,309
Theodore Roosevelt,41,181,1902,1902-07-19,Rules Governing the Granting and Issuing of Passports in the United States,1901-09-14,26,309
Theodore Roosevelt,42,182,1902,1902-07-19,Rules Governing the Granting and Issuing of Passports in the Insular Possessions of the United States,1901-09-14,26,309
Theodore Roosevelt,43,183,1902,1902-07-21,Amending Civil Service Rules to Except Clerk in New York Immigration Office from Examination,1901-09-14,26,311
Theodore Roosevelt,44,184,1902,1902-07-21,Amending Civil Service Rules to Except Lawyer in New York Immigration Office from Examination,1901-09-14,26,311
Theodore Roosevelt,45,185,1902,1902-07-30,Amending Civil Service Rules to Except War Department Clerk in White House Duty from Examination,1901-09-14,26,320
Theodore Roosevelt,46,186,1902,1902-08-02,Amending Civil Service Rules to Except Solicitor at Port of New York from Examination,1901-09-14,26,323
Theodore Roosevelt,47,187,1902,1902-08-16,Amending Civil Service Rules to Except from Classification Temporary Marine Hospital Service Personnel,1901-09-14,26,337
Theodore Roosevelt,48,188,1902,1902-09-04,Directing that Raplie M. Cheshire be Recertified for Appointment,1901-09-14,26,356
Theodore Roosevelt,49,189,1902,1902-09-04,Authorizing Appointment of David Lynch for Duty in the Signal Service Without Examination Under Civil Service Rules,1901-09-14,26,356
Theodore Roosevelt,50,190,1902,1902-09-10,"Closing of all Executive Departments for Observance of the Grand Army of the Republic Parade, October 8, 1902",1901-09-14,26,362
Theodore Roosevelt,51,191,1902,1902-10-04,Authorizing Retention of Workers on Government Printing Office Building Construction Without Regard to Civil Service Rules During Work on War College and Washington Barracks,1901-09-14,26,386
Theodore Roosevelt,52,192,1902,1902-10-14,Amending Civil Service Rules Regarding Apportionment Striking Section 6 of Rule VIII,1901-09-14,26,396
Theodore Roosevelt,53,193,1902,1902-10-18,Ordering Reaffirmation and Enforcement of Regulations Governing the Soliciting of Contributions for Political Purposes by and From Government Officers or Employees,1901-09-14,26,400
Theodore Roosevelt,54,194,1902,1902-11-06,"Amending Consular Regulations of 1896, Paragraph 660, to Except Gold or Silver Bullion as Money or Currency",1901-09-14,26,419
Theodore Roosevelt,55,194-A,1902,1902-12-08,Duties of Secretary to the President Defined,1901-09-14,26,451
Theodore Roosevelt,56,195,1902,1902-12-23,Authorizing Appointment of F. L. Templeton as Clerk in Post Office Department Without Regard to Civil Service Rules,1901-09-14,26,466
Theodore Roosevelt,57,196,1902,1902-12-27,Authorizing Appointment of Charles W. Newton as Physician in Western Navajo Agency Without Examination,1901-09-14,26,470
Theodore Roosevelt,58,197,1903,1903-01-07,Authorizing Reinstatement of Stainslaus M. Hamilton as Clerk in Department of State Without Regard to Civil Service Rules,1901-09-14,26,481
Theodore Roosevelt,59,198,1903,1903-01-10,Authorizing Extension of Temporary Appointment of Eight Clerks in Internal Revenue Service for Sixty Days,1901-09-14,26,484
Theodore Roosevelt,60,199,1903,1903-01-19,Amending Civil Service Rules to Require Certification of Laborers Who Perform Work of Grade of Classified Employees,1901-09-14,26,493
Theodore Roosevelt,61,199-A,1903,1903-01-20,Placing the Midway Islands Under the Jurisdiction and Control of the Navy Department,1901-09-14,26,494
Theodore Roosevelt,62,200,1903,1903-01-21,Amending Civil Service Rules to Prohibit Certain Transfers if Position Can be Filled by Promotion,1901-09-14,26,495
Theodore Roosevelt,63,201,1903,1903-01-30,Authorizing Appointment of F. A. Collins as Private Secretary to the Public Printer Without Examination,1901-09-14,26,504
Theodore Roosevelt,64,202,1903,1903-02-06,Authorizing Reinstatement of Oscar Wenderoth as Senior Draftsman in Treasury Department Without Regard to Civil Service Rules,1901-09-14,26,511
Theodore Roosevelt,65,203,1903,1903-02-11,Authorizing Permanent Appointment of Temporary Clerks at Naval Stations in Insular Possessions,1901-09-14,26,516
Theodore Roosevelt,66,204,1903,1903-02-19,Removing Civil Service Rule Provision which Allowed Aliens to Qualify for Copperplate Map Engraver Position,1901-09-14,26,524
Theodore Roosevelt,67,205,1903,1903-03-07,Authorizing Appointment of Translator in Bureau of Insular Affairs Without Examination,1901-09-14,26,540
Theodore Roosevelt,68,206,1903,1903-03-09,Transferring Revolutionary Archives from the State Department to the Library of Congress,1901-09-14,26,542
Theodore Roosevelt,69,207,1903,1903-03-09,Authorizing Appointment of Horatio C. Pollock as Clerk at Military Headquarters in Philippine Islands Without Examination,1901-09-14,26,542
Theodore Roosevelt,70,208,1903,1903-03-12,Authorizing Appointment of William J. Lee as Telegrapher in Department of Commerce and Labor Without Examination,1901-09-14,26,545
Theodore Roosevelt,71,209,1903,1903-03-20,"Prescribing Civil Service Rules in Lieu of Rules of May 6, 1896",1901-09-14,26,553
Theodore Roosevelt,72,210,1903,1903-03-26,"Appointment of Unclassified Laborers Outside of Washington, D.C.",1901-09-14,26,559
Theodore Roosevelt,73,211,1903,1903-03-26,Authorizing Appointment of James A. Dumont as Inspector of Hulls in Steamboat Inspection Service Without Regard to Civil Service Rules,1901-09-14,26,559
Theodore Roosevelt,74,212,1903,1903-03-30,Authorizing Transfer of Exum L. Holland to Inspector in Customs Service Without Regard to Civil Service Rules,1901-09-14,26,563
Theodore Roosevelt,75,213,1903,1903-03-31,"Clarifying that Civil Service Rules of March 20, 1903 do not give Permanent Appointment to Employees Serving under Rule VIII, Sections 13-16 of Rules of 1896",1901-09-14,26,564
Theodore Roosevelt,76,214,1903,1903-03-31,Requiring Executive Departments to Furnish Information to Secretary of the Interior for Preparation of Official Register,1901-09-14,26,564
Theodore Roosevelt,77,215,1903,1903-04-29,Authorizing Appointment of Albert U. Wyman as Clerk in Office of the Treasurer Without Examination,1901-09-14,26,593
Theodore Roosevelt,78,216,1903,1903-04-29,Authorizing Permanent Appointment of Lucas Blanco as Messenger in Customs Service Without Examination,1901-09-14,26,593
Theodore Roosevelt,79,217,1903,1903-06-06,"Amending Consular Regulations of 1896, Paragraph 463, on Issuance of Circulars",1901-09-14,26,631
Theodore Roosevelt,80,218,1903,1903-06-29,"Certain Property at Ponce, Mayaguez, and San Juan, Porto Rico, Reserved for Use of Courts, District Attorney, and Marshal",1901-09-14,26,654
Theodore Roosevelt,81,219,1903,1903-06-30,Reserving Certain Lands in Puerto Rico for Naval Purposes; Submission of Memoranda of Understanding Concerning Use of Said Lands by Secretary of Navy and Governor of Puerto Rico Permitted,1901-09-14,26,655
Theodore Roosevelt,82,220,1903,1903-06-30,"Eliminating Lands and Building Known as The Presidio, San Juan, Porto Rico, from Operation of Proclamation of June 26, 1903",1901-09-14,26,655
Theodore Roosevelt,83,221,1903,1903-07-03,Authorizing Reinstatement of Charles B. Terry as Clerk in Post Office Department Without Examination,1901-09-14,26,658
Theodore Roosevelt,84,222,1903,1903-07-08,Prescribing Manner of Examination for Unskilled Labor Positions and Veterans of the Civil War,1901-09-14,26,663
Theodore Roosevelt,85,223,1903,1903-07-13,Authorizing Appointment of Ten Persons to Positions in Department of Commerce and Labor Without Examination,1901-09-14,26,668
Theodore Roosevelt,86,224,1903,1903-07-25,Authorizing Reinstatement of Sarah McLanahan as Sewer in Government Printing Office Without Regard to Civil Service Rules,1901-09-14,26,680
Theodore Roosevelt,87,225,1903,1903-07-29,Approving the Extension of Certain Temporary Employees Without Regard to Civil Service Rules,1901-09-14,26,684
Theodore Roosevelt,88,226,1903,1903-07-29,Authorizing Reinstatement of Annie M. West and Sadie B. Yates to Positions in Government Printing Office,1901-09-14,26,684
Theodore Roosevelt,89,227,1903,1903-07-30,Authorizing Appointment of Luther M. Walter as Law Clerk in Interstate Commerce Commission Upon Noncompetitive Examination,1901-09-14,26,685
Theodore Roosevelt,90,228,1903,1903-08-01,"Extending Time Limit for Completion of Work of the Spanish Treaty Claims Commission to March 2, 1904",1901-09-14,26,687
Theodore Roosevelt,91,229,1903,1903-08-09,Authorizing Appointment of Julia W. Wellborn as Clerk in the Geological Survey Without Examination,1901-09-14,26,695
Theodore Roosevelt,92,230,1903,1903-08-10,Amending Civil Service Rules Regarding Exceptions from Examination,1901-09-14,26,696
Theodore Roosevelt,93,231,1903,1903-08-17,Authorizing Employment of Allen Hazen as Engineer in Washington Filtration Plant for Two Years,1901-09-14,26,703
Theodore Roosevelt,94,232,1903,1903-08-20,Authorizing Appointment of Dr. William A. White as Superintendent of the Government Hospital for the Insane Without Examination,1901-09-14,26,706
Theodore Roosevelt,95,233,1903,1903-08-26,"Authorizing Transfer of W. E. Lackland to Post-Office at Prescott, Arizona, Without Regard to Civil Service Rules",1901-09-14,26,712
Theodore Roosevelt,96,234,1903,1903-08-27,Authorizing Reinstatement of Emma J. Rawlings as Teller in the Treasury Department,1901-09-14,26,713
Theodore Roosevelt,97,235,1903,1903-09-12,Rules Governing the Granting and Issuing of Passports in the United States,1901-09-14,26,729
Theodore Roosevelt,98,236,1903,1903-10-09,Authorizing Appointment of Clarence A. Cook as Special Agent in Department of Commerce and Labor Without Examination,1901-09-14,26,756
Theodore Roosevelt,99,237,1903,1903-10-23,Authorizing Reinstatement of Lillian B. Kellogg as Sewer in Government Printing Office Without Regard to Civil Service Rules,1901-09-14,26,770
Theodore Roosevelt,100,238,1903,1903-11-02,Authorizing Appointment of Mrs. Roy L. Quackenbush as Clerk in Post Office Department Without Examination,1901-09-14,26,780
Theodore Roosevelt,101,239,1903,1903-12-04,Authorizing Appointment of Francis L. Hawes as Special Agent in Bureau of Corporations Without Examination,1901-09-14,26,812
Theodore Roosevelt,102,240,1903,1903-12-05,Prohibiting Use of Official Letterheads and Signatures by Consular Officers on Private Correspondence,1901-09-14,26,813
Theodore Roosevelt,103,241,1903,1903-12-09,"Reserving All Lands on Certain Alaska Islands, including Kiska Island, Little Kiska Island, and Adjacent Islets For Naval Purposes",1901-09-14,26,817
Theodore Roosevelt,104,242,1903,1903-12-28,Authorizing Reinstatement of Mrs. Frank L. Harrigan as Machine Feeder in Government Printing Office Without Regard to Civil Service Rules,1901-09-14,26,836
Theodore Roosevelt,105,243,1904,1904-01-04,Authorizing Reinstatement of Evelyn M. Ford as Clerk in the War Department Without Regard to Civil Service Rules,1901-09-14,26,843
Theodore Roosevelt,106,244,1904,1904-01-07,Authorizing Appointment of Mrs. G. W. Shipman as Clerk in Office of the First Assistant Postmaster-General Without Examination,1901-09-14,26,846
Theodore Roosevelt,107,245,1904,1904-01-09,Authorizing Reinstatement of Elizabeth C. Peters as Sewer in Government Printing Office Without Regard to Civil Service Rules,1901-09-14,26,848
Theodore Roosevelt,108,246,1904,1904-01-12,"Extending Time Limit for Completion of Work of the Spanish Treaty Claims Commission to September 2, 1904",1901-09-14,26,851
Theodore Roosevelt,109,247,1904,1904-01-27,Authorizing Appointment of E. W. Libbey as Operator in Department of Commerce and Labor without Examination,1901-09-14,26,866
Theodore Roosevelt,110,248,1904,1904-02-01,Authorizing Reinstatement of Kate L. Croggan as Sewer in Government Printing Office Without Regard to Civil Service Rules,1901-09-14,26,871
Theodore Roosevelt,111,249,1904,1904-02-05,Authorizing Employment of James M. Cooper and Ralston Williams by Medical Board Investigating Typhoid Fever,1901-09-14,26,875
Theodore Roosevelt,112,250,1904,1904-02-05,"Revoking Special Civil Service Rule of July 3, 1902, Pertaining to Persons Formerly Employed in Military Government of Cuba",1901-09-14,26,875
Theodore Roosevelt,113,251,1904,1904-02-08,"Allowing Transfer of Matthew J. McCarty to Non-Expected Position of Deputy Surveyor and Inspector at Customs Port of Syracuse, N.Y., Without Examination",1901-09-14,26,878
Theodore Roosevelt,114,252,1904,1904-02-17,Authorizing Certification of Marie L. Baldwin as Clerk in Office of Indian Affairs Without Regard to Civil Service Rules,1901-09-14,26,887
Theodore Roosevelt,115,253,1904,1904-02-17,Amending Civil Service Rules to Except Commissioners of National Military Parks from Examination,1901-09-14,26,887
Theodore Roosevelt,116,254,1904,1904-02-18,"Ordering federal Offices in Ohio Closed on February 19, 1904 for Funeral Services of Marcus A. Hanna",1901-09-14,26,888
Theodore Roosevelt,117,255,1904,1904-02-25,Authorizing Appointment of Francis Walker as Special Agent in Bureau of Corporations Without Examination,1901-09-14,26,895
Theodore Roosevelt,118,256,1904,1904-03-01,Designating All Position Except Laborers in Civil Service of War Department in Philippines as Classified Under Civil Service Rules,1901-09-14,26,900
Theodore Roosevelt,119,257,1904,1904-03-04,Authorizing Transfer of Merrit O. Chance to Superintendent in Post Office Department Without Examination,1901-09-14,26,903
Theodore Roosevelt,120,258,1904,1904-03-10,"Further Reaffirming the Observance of Proclamation of February 11, 104 by All Officials of the Government",1901-09-14,26,909
Theodore Roosevelt,121,259,1904,1904-03-26,Amending Civil Service Rules Regarding Physicians in Indian Service,1901-09-14,26,925
Theodore Roosevelt,122,260,1904,1904-05-18,Authorizing Reinstatement of Katherine C. Masterson in Government Printing Office Without Regard to Civil Service Rules,1901-09-14,26,978
Theodore Roosevelt,123,261,1904,1904-05-26,Authorizing Appointment of I. B. Conklin as Clerk in Washington Navy Yard Without Examination,1901-09-14,26,986
Theodore Roosevelt,124,262,1904,1904-06-13,Amending Civil Service Rules Regarding Promotion to Former Positions,1901-09-14,26,1004
Theodore Roosevelt,125,263,1904,1904-06-17,Authorizing Appointment of Samuel D. Amen as Internal Revenue Agent Without Regard to Civil Service Rules,1901-09-14,26,1008
Theodore Roosevelt,126,264,1904,1904-06-23,Authorizing Appointment of Dr. William L. Ralph as Curator in National Museum Without Examination,1901-09-14,26,1014
Theodore Roosevelt,127,265,1904,1904-06-24,Authorizing Appointment of Clarence Reeder as Secretary to the Director of the Geological Survey Without Examination,1901-09-14,26,1015
Theodore Roosevelt,128,266,1904,1904-06-29,Authorizing Permanent Appointment of Edna K. Hoyt as Clerk in Department of State Without Examination,1901-09-14,26,1020
Theodore Roosevelt,129,267,1904,1904-07-30,"Extending Time Limit for Completion of Work of the Spanish Treaty Claims Commission to March 2, 1905",1901-09-14,26,1051
Theodore Roosevelt,130,268,1904,1904-08-06,Authorizing Appointment of James E. S. Kinsella as Minor Under Instruction in Navy Yard Without Regard to Navy Yard Order No. 13,1901-09-14,26,1058
Theodore Roosevelt,131,269,1904,1904-08-09,Authorizing Promotion of Ludwick C. Young to Clerk in Census Office Without Examination,1901-09-14,26,1061
Theodore Roosevelt,132,270,1904,1904-08-19,Authorizing Permanent Appointment of Dr. William Conyngton as Physician at Grand River Indian School After Special Examination',1901-09-14,26,1071
Theodore Roosevelt,133,271,1904,1904-10-05,"Ordering Mourning Formalities for Death of Henry Clay Payne, Postmaster General",1901-09-14,26,1118
Theodore Roosevelt,134,272,1904,1904-11-09,"Authorizing Appointment of Luther Conant, Jr., as Special Examiner in Bureau of Corporations Without Examination",1901-09-14,26,1153
Theodore Roosevelt,135,273,1904,1904-11-15,Amending Civil Service Rules Regarding Positions Excepted from Examination for Isthmian Canal Commission Personnel,1901-09-14,26,1159
Theodore Roosevelt,136,274,1904,1904-11-15,Applying Civil Service Rules to Employees of Isthmian Canal Commission,1901-09-14,26,1159
Theodore Roosevelt,137,275,1904,1904-11-15,"Regulations Governing the Appointment of Unclassified Laborers in the Departments at Washington, D.C.",1901-09-14,26,1159
Theodore Roosevelt,138,276,1904,1904-11-21,Authorizing Permanent Appointment of Clare A. Cooper as Matron in Immigration Service Without Examination,1901-09-14,26,1165
Theodore Roosevelt,139,277,1904,1904-11-23,Amending Civil Service Rules to Make Treasury Department Cashiers and Deputies Subject to Examination,1901-09-14,26,1167
Theodore Roosevelt,140,278,1904,1904-11-29,Designating Substitute Watchmen in Government Printing Office as Classified Under Civil Service Rules,1901-09-14,26,1173
