id,knownName,givenName,familyName,fullName,fileName,gender,birth_date,birth_country,death_date,death_country,wikipedia,wikidata,sameAs,awardYear,category,categoryFullName,sortOrder,portion,dateAwarded,prizeStatus,motivation,prizeAmount,prizeAmountAdjusted,university_affiliation,age
2,Hendrik A. Lorentz,Hendrik A.,Lorentz,Hendrik Antoon Lorentz,lorentz,male,1853-07-18,the Netherlands,1928-02-04,the Netherlands,https://en.wikipedia.org/wiki/Hendrik_Lorentz,"{'id': 'Q41688', 'url': 'https://www.wikidata.org/wiki/Q41688'}","['https://www.wikidata.org/wiki/Q41688', 'https://en.wikipedia.org/wiki/Hendrik_Lorentz']",1902,Physics,The Nobel Prize in Physics,1,1/2,1902-11-11,received,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,141847,9129789,Leiden University,49.0
3,Pieter Zeeman,Pieter,Zeeman,Pieter Zeeman,zeeman,male,1865-05-25,the Netherlands,1943-10-09,the Netherlands,https://en.wikipedia.org/wiki/Pieter_Zeeman,"{'id': 'Q79000', 'url': 'https://www.wikidata.org/wiki/Q79000'}","['https://www.wikidata.org/wiki/Q79000', 'https://en.wikipedia.org/wiki/Pieter_Zeeman']",1902,Physics,The Nobel Prize in Physics,2,1/2,1902-11-11,received,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,141847,9129789,Amsterdam University,37.0
294,Ronald Ross,Ronald,Ross,Ronald Ross,ross,male,1857-05-13,India,1932-09-16,United Kingdom,https://en.wikipedia.org/wiki/Ronald_Ross,"{'id': 'Q102034', 'url': 'https://www.wikidata.org/wiki/Q102034'}","['https://www.wikidata.org/wiki/Q102034', 'https://en.wikipedia.org/wiki/Ronald_Ross']",1902,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,1902-10-30,received,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",141847,9129789,University College,45.0
162,Svante Arrhenius,Svante,Arrhenius,Svante August Arrhenius,arrhenius,male,1859-02-19,Sweden,1927-10-02,Sweden,https://en.wikipedia.org/wiki/Svante_Arrhenius,"{'id': 'Q80956', 'url': 'https://www.wikidata.org/wiki/Q80956'}","['https://www.wikidata.org/wiki/Q80956', 'https://en.wikipedia.org/wiki/Svante_Arrhenius']",1903,Chemistry,The Nobel Prize in Chemistry,1,1,1903-11-12,received,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,141358,8830717,Stockholm University,44.0
572,Bjørnstjerne Bjørnson,Bjørnstjerne,Bjørnson,Bjørnstjerne Martinus Bjørnson,bjornson,male,1832-12-08,Norway,1910-04-26,France,https://en.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,"{'id': 'Q46405', 'url': 'https://www.wikidata.org/wiki/Q46405'}","['https://www.wikidata.org/wiki/Q46405', 'https://en.wikipedia.org/wiki/Bjørnstjerne_Bjørnson']",1903,Literature,The Nobel Prize in Literature,1,1,1903-11-19,received,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",141358,8830717,,71.0
466,Randal Cremer,Randal,Cremer,William Randal Cremer,cremer,male,1828-03-18,United Kingdom,1908-07-22,United Kingdom,https://en.wikipedia.org/wiki/Randal_Cremer,"{'id': 'Q189841', 'url': 'https://www.wikidata.org/wiki/Q189841'}","['https://www.wikidata.org/wiki/Q189841', 'https://en.wikipedia.org/wiki/Randal_Cremer']",1903,Peace,The Nobel Peace Prize,1,1,1903-12-10,received,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,141358,8830717,,75.0
4,Henri Becquerel,Henri,Becquerel,Antoine Henri Becquerel,becquerel,male,1852-12-15,France,1908-08-25,France,https://en.wikipedia.org/wiki/Henri_Becquerel,"{'id': 'Q41269', 'url': 'https://www.wikidata.org/wiki/Q41269'}","['https://www.wikidata.org/wiki/Q41269', 'https://en.wikipedia.org/wiki/Henri_Becquerel']",1903,Physics,The Nobel Prize in Physics,1,1/2,1903-11-12,received,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,141358,8830717,École Polytechnique,51.0
5,Pierre Curie,Pierre,Curie,Pierre Curie,pierre-curie,male,1859-05-15,France,1906-04-19,France,https://en.wikipedia.org/wiki/Pierre_Curie,"{'id': 'Q37463', 'url': 'https://www.wikidata.org/wiki/Q37463'}","['https://www.wikidata.org/wiki/Q37463', 'https://en.wikipedia.org/wiki/Pierre_Curie']",1903,Physics,The Nobel Prize in Physics,2,1/4,1903-11-12,received,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,141358,8830717,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),44.0
6,Marie Curie,Marie,Curie,"Marie Curie, née Skłodowska",marie-curie,female,1867-11-07,Russian Empire,1934-07-04,France,https://en.wikipedia.org/wiki/Marie_Curie,"{'id': 'Q7186', 'url': 'https://www.wikidata.org/wiki/Q7186'}","['https://www.wikidata.org/wiki/Q7186', 'https://en.wikipedia.org/wiki/Marie_Curie']",1903,Physics,The Nobel Prize in Physics,3,1/4,1903-11-12,received,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,141358,8830717,,36.0
295,Niels Ryberg Finsen,Niels Ryberg,Finsen,Niels Ryberg Finsen,finsen,male,1860-12-15,Faroe Islands (Denmark),1904-09-24,Denmark,https://en.wikipedia.org/wiki/Niels_Ryberg_Finsen,"{'id': 'Q182964', 'url': 'https://www.wikidata.org/wiki/Q182964'}","['https://www.wikidata.org/wiki/Q182964', 'https://en.wikipedia.org/wiki/Niels_Ryberg_Finsen']",1903,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,1903-10-15,received,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",141358,8830717,Finsen Medical Light Institute,43.0
163,Sir William Ramsay,Sir William,Ramsay,Sir William Ramsay,ramsay,male,1852-10-02,Scotland,1916-07-23,United Kingdom,https://en.wikipedia.org/wiki/William_Ramsay,"{'id': 'Q950726', 'url': 'https://www.wikidata.org/wiki/Q950726'}","['https://www.wikidata.org/wiki/Q950726', 'https://en.wikipedia.org/wiki/William_Ramsay']",1904,Chemistry,The Nobel Prize in Chemistry,1,1,1904-11-08,received,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",140859,8799545,University College,52.0
573,Frédéric Mistral,Frédéric,Mistral,Frédéric Mistral,mistral,male,1830-09-08,France,1914-03-25,France,https://en.wikipedia.org/wiki/Frédéric_Mistral,"{'id': 'Q42596', 'url': 'https://www.wikidata.org/wiki/Q42596'}","['https://www.wikidata.org/wiki/Q42596', 'https://en.wikipedia.org/wiki/Frédéric_Mistral']",1904,Literature,The Nobel Prize in Literature,1,1/2,1904-11-17,received,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",140859,8799545,,74.0
574,José Echegaray,José,Echegaray,José Echegaray y Eizaguirre,eizaguirre,male,1832-04-19,Spain,1916-09-04,Spain,https://en.wikipedia.org/wiki/José_Echegaray,"{'id': 'Q127349', 'url': 'https://www.wikidata.org/wiki/Q127349'}","['https://www.wikidata.org/wiki/Q127349', 'https://en.wikipedia.org/wiki/José_Echegaray']",1904,Literature,The Nobel Prize in Literature,2,1/2,1904-11-17,received,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",140859,8799545,,72.0
467,,,,,international-law,,,,,,https://en.wikipedia.org/wiki/Institut_de_Droit_International,"{'id': 'Q115095', 'url': 'https://www.wikidata.org/wiki/Q115095'}","['https://www.wikidata.org/wiki/Q115095', 'https://en.wikipedia.org/wiki/Institut_de_Droit_International']",1904,Peace,The Nobel Peace Prize,1,1,1904-12-10,received,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,140859,8799545,,
8,Lord Rayleigh,Lord,Rayleigh,Lord Rayleigh (John William Strutt),strutt,male,1842-11-12,United Kingdom,1919-06-30,United Kingdom,"https://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh","{'id': 'Q83297', 'url': 'https://www.wikidata.org/wiki/Q83297'}","['https://www.wikidata.org/wiki/Q83297', 'https://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh']",1904,Physics,The Nobel Prize in Physics,1,1,1904-11-08,received,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,140859,8799545,Royal Institution of Great Britain,62.0
296,Ivan Pavlov,Ivan,Pavlov,Ivan Petrovich Pavlov,pavlov,male,1849-09-14,Russia,1936-02-27,Russia,https://en.wikipedia.org/wiki/Ivan_Pavlov,"{'id': 'Q42985', 'url': 'https://www.wikidata.org/wiki/Q42985'}","['https://www.wikidata.org/wiki/Q42985', 'https://en.wikipedia.org/wiki/Ivan_Pavlov']",1904,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,1904-10-20,received,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",140859,8799545,Military Medical Academy,55.0
164,Adolf von Baeyer,Adolf,von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,baeyer,male,1835-10-31,Prussia,1917-08-20,Germany,https://en.wikipedia.org/wiki/Adolf_von_Baeyer,"{'id': 'Q57078', 'url': 'https://www.wikidata.org/wiki/Q57078'}","['https://www.wikidata.org/wiki/Q57078', 'https://en.wikipedia.org/wiki/Adolf_von_Baeyer']",1905,Chemistry,The Nobel Prize in Chemistry,1,1,1905-11-09,received,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",138089,8626501,Munich University,70.0
575,Henryk Sienkiewicz,Henryk,Sienkiewicz,Henryk Sienkiewicz,sienkiewicz,male,1846-05-05,Poland,1916-11-15,Switzerland,https://en.wikipedia.org/wiki/Henryk_Sienkiewicz,"{'id': 'Q41502', 'url': 'https://www.wikidata.org/wiki/Q41502'}","['https://www.wikidata.org/wiki/Q41502', 'https://en.wikipedia.org/wiki/Henryk_Sienkiewicz']",1905,Literature,The Nobel Prize in Literature,1,1,1905-11-09,received,because of his outstanding merits as an epic writer,138089,8626501,,59.0
468,Bertha von Suttner,Bertha,von Suttner,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",suttner,female,1843-06-09,Austrian Empire,1914-06-21,Austria,https://en.wikipedia.org/wiki/Bertha_von_Suttner,"{'id': 'Q18456', 'url': 'https://www.wikidata.org/wiki/Q18456'}","['https://www.wikidata.org/wiki/Q18456', 'https://en.wikipedia.org/wiki/Bertha_von_Suttner']",1905,Peace,The Nobel Peace Prize,1,1,1905-12-10,received,for her audacity to oppose the horrors of war,138089,8626501,,62.0
9,Philipp Lenard,Philipp,Lenard,Philipp Eduard Anton von Lenard,lenard,male,1862-06-07,Hungary,1947-05-20,Germany,https://en.wikipedia.org/wiki/Philipp_Lenard,"{'id': 'Q57063', 'url': 'https://www.wikidata.org/wiki/Q57063'}","['https://www.wikidata.org/wiki/Q57063', 'https://en.wikipedia.org/wiki/Philipp_Lenard']",1905,Physics,The Nobel Prize in Physics,1,1,1905-11-09,received,for his work on cathode rays,138089,8626501,Kiel University,43.0
297,Robert Koch,Robert,Koch,Robert Koch,koch,male,1843-12-11,Germany,1910-05-27,Germany,https://en.wikipedia.org/wiki/Robert_Koch,"{'id': 'Q37193', 'url': 'https://www.wikidata.org/wiki/Q37193'}","['https://www.wikidata.org/wiki/Q37193', 'https://en.wikipedia.org/wiki/Robert_Koch']",1905,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,1905-10-12,received,for his investigations and discoveries in relation to tuberculosis,138089,8626501,Institute for Infectious Diseases,62.0
165,Henri Moissan,Henri,Moissan,Henri Moissan,moissan,male,1852-09-28,France,1907-02-20,France,https://en.wikipedia.org/wiki/Henri_Moissan,"{'id': 'Q102804', 'url': 'https://www.wikidata.org/wiki/Q102804'}","['https://www.wikidata.org/wiki/Q102804', 'https://en.wikipedia.org/wiki/Henri_Moissan']",1906,Chemistry,The Nobel Prize in Chemistry,1,1,1906-11-12,received,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",138536,8407156,Sorbonne University,54.0
576,Giosuè Carducci,Giosuè,Carducci,Giosuè Carducci,carducci,male,1835-07-27,Tuscany,1907-02-16,Italy,https://en.wikipedia.org/wiki/Giosuè_Carducci,"{'id': 'Q43440', 'url': 'https://www.wikidata.org/wiki/Q43440'}","['https://www.wikidata.org/wiki/Q43440', 'https://en.wikipedia.org/wiki/Giosuè_Carducci']",1906,Literature,The Nobel Prize in Literature,1,1,1906-11-08,received,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",138536,8407156,,71.0
470,Theodore Roosevelt,Theodore,Roosevelt,Theodore Roosevelt Jr.,roosevelt,male,1858-10-27,USA,1919-01-06,USA,https://en.wikipedia.org/wiki/Theodore_Roosevelt,"{'id': 'Q33866', 'url': 'https://www.wikidata.org/wiki/Q33866'}","['https://www.wikidata.org/wiki/Q33866', 'https://en.wikipedia.org/wiki/Theodore_Roosevelt']",1906,Peace,The Nobel Peace Prize,1,1,1906-12-10,received,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",138536,8407156,,48.0
10,J.J. Thomson,J.J.,Thomson,Joseph John Thomson,thomson,male,1856-12-18,United Kingdom,1940-08-30,United Kingdom,https://en.wikipedia.org/wiki/J._J._Thomson,"{'id': 'Q47285', 'url': 'https://www.wikidata.org/wiki/Q47285'}","['https://www.wikidata.org/wiki/Q47285', 'https://en.wikipedia.org/wiki/J._J._Thomson']",1906,Physics,The Nobel Prize in Physics,1,1,1906-11-12,received,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,138536,8407156,University of Cambridge,50.0
298,Camillo Golgi,Camillo,Golgi,Camillo Golgi,golgi,male,1843-07-07,Italy,1926-01-21,Italy,https://en.wikipedia.org/wiki/Camillo_Golgi,"{'id': 'Q150630', 'url': 'https://www.wikidata.org/wiki/Q150630'}","['https://www.wikidata.org/wiki/Q150630', 'https://en.wikipedia.org/wiki/Camillo_Golgi']",1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,1906-10-25,received,in recognition of their work on the structure of the nervous system,138536,8407156,Pavia University,63.0
299,Santiago Ramón y Cajal,Santiago,Ramón y Cajal,Santiago Ramón y Cajal,cajal,male,1852-05-01,Spain,1934-10-17,Spain,https://en.wikipedia.org/wiki/Santiago_Ramón_y_Cajal,"{'id': 'Q150526', 'url': 'https://www.wikidata.org/wiki/Q150526'}","['https://www.wikidata.org/wiki/Q150526', 'https://en.wikipedia.org/wiki/Santiago_Ramón_y_Cajal']",1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/2,1906-10-25,received,in recognition of their work on the structure of the nervous system,138536,8407156,Madrid University,54.0
166,Eduard Buchner,Eduard,Buchner,Eduard Buchner,buchner,male,1860-05-20,Bavaria,1917-08-13,Romania,https://en.wikipedia.org/wiki/Eduard_Buchner,"{'id': 'Q43917', 'url': 'https://www.wikidata.org/wiki/Q43917'}","['https://www.wikidata.org/wiki/Q43917', 'https://en.wikipedia.org/wiki/Eduard_Buchner']",1907,Chemistry,The Nobel Prize in Chemistry,1,1,1907-11-12,received,for his biochemical researches and his discovery of cell-free fermentation,138796,7967641,Landwirtschaftliche Hochschule (Agricultural College),47.0
577,Rudyard Kipling,Rudyard,Kipling,Rudyard Kipling,kipling,male,1865-12-30,British India,1936-01-18,United Kingdom,https://en.wikipedia.org/wiki/Rudyard_Kipling,"{'id': 'Q34743', 'url': 'https://www.wikidata.org/wiki/Q34743'}","['https://www.wikidata.org/wiki/Q34743', 'https://en.wikipedia.org/wiki/Rudyard_Kipling']",1907,Literature,The Nobel Prize in Literature,1,1,1907-11-07,received,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",138796,7967641,,42.0
471,Ernesto Teodoro Moneta,Ernesto Teodoro,Moneta,Ernesto Teodoro Moneta,moneta,male,1833-09-20,Austrian Empire,1918-02-10,Italy,https://en.wikipedia.org/wiki/Ernesto_Teodoro_Moneta,"{'id': 'Q12086', 'url': 'https://www.wikidata.org/wiki/Q12086'}","['https://www.wikidata.org/wiki/Q12086', 'https://en.wikipedia.org/wiki/Ernesto_Teodoro_Moneta']",1907,Peace,The Nobel Peace Prize,1,1/2,1907-12-10,received,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",138796,7967641,,74.0
472,Louis Renault,Louis,Renault,Louis Renault,renault,male,1843-05-21,France,1918-02-08,France,https://en.wikipedia.org/wiki/Louis_Renault_(jurist),"{'id': 'Q230814', 'url': 'https://www.wikidata.org/wiki/Q230814'}","['https://www.wikidata.org/wiki/Q230814', 'https://en.wikipedia.org/wiki/Louis_Renault_(jurist)']",1907,Peace,The Nobel Peace Prize,2,1/2,1907-12-10,received,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,138796,7967641,Sorbonne University,64.0
11,Albert A. Michelson,Albert A.,Michelson,Albert Abraham Michelson,michelson,male,1852-12-19,Prussia,1931-05-09,USA,https://en.wikipedia.org/wiki/Albert_Abraham_Michelson,"{'id': 'Q127234', 'url': 'https://www.wikidata.org/wiki/Q127234'}","['https://www.wikidata.org/wiki/Q127234', 'https://en.wikipedia.org/wiki/Albert_Abraham_Michelson']",1907,Physics,The Nobel Prize in Physics,1,1,1907-11-12,received,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,138796,7967641,University of Chicago,55.0
300,Alphonse Laveran,Alphonse,Laveran,Charles Louis Alphonse Laveran,laveran,male,1845-06-18,France,1922-05-18,France,https://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran,"{'id': 'Q189006', 'url': 'https://www.wikidata.org/wiki/Q189006'}","['https://www.wikidata.org/wiki/Q189006', 'https://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran']",1907,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,1907-10-31,received,in recognition of his work on the role played by protozoa in causing diseases,138796,7967641,Institut Pasteur,62.0
167,Ernest Rutherford,Ernest,Rutherford,Ernest Rutherford,rutherford,male,1871-08-30,New Zealand,1937-10-19,United Kingdom,https://en.wikipedia.org/wiki/Ernest_Rutherford,"{'id': 'Q9123', 'url': 'https://www.wikidata.org/wiki/Q9123'}","['https://www.wikidata.org/wiki/Q9123', 'https://en.wikipedia.org/wiki/Ernest_Rutherford']",1908,Chemistry,The Nobel Prize in Chemistry,1,1,1908-11-10,received,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",139800,8025276,Victoria University,37.0
578,Rudolf Eucken,Rudolf,Eucken,Rudolf Christoph Eucken,eucken,male,1846-01-05,East Friesland,1926-09-14,Germany,https://en.wikipedia.org/wiki/Rudolf_Christoph_Eucken,"{'id': 'Q47695', 'url': 'https://www.wikidata.org/wiki/Q47695'}","['https://www.wikidata.org/wiki/Q47695', 'https://en.wikipedia.org/wiki/Rudolf_Christoph_Eucken']",1908,Literature,The Nobel Prize in Literature,1,1,1908-11-12,received,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",139800,8025276,,62.0
473,Klas Pontus Arnoldson,Klas Pontus,Arnoldson,Klas Pontus Arnoldson,arnoldson,male,1844-10-27,Sweden,1916-02-20,Sweden,https://en.wikipedia.org/wiki/Klas_Pontus_Arnoldson,"{'id': 'Q192618', 'url': 'https://www.wikidata.org/wiki/Q192618'}","['https://www.wikidata.org/wiki/Q192618', 'https://en.wikipedia.org/wiki/Klas_Pontus_Arnoldson']",1908,Peace,The Nobel Peace Prize,1,1/2,1908-12-10,received,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",139800,8025276,,64.0
474,Fredrik Bajer,Fredrik,Bajer,Fredrik Bajer,bajer,male,1837-04-21,Denmark,1922-01-22,Denmark,https://en.wikipedia.org/wiki/Fredrik_Bajer,"{'id': 'Q191016', 'url': 'https://www.wikidata.org/wiki/Q191016'}","['https://www.wikidata.org/wiki/Q191016', 'https://en.wikipedia.org/wiki/Fredrik_Bajer']",1908,Peace,The Nobel Peace Prize,2,1/2,1908-12-10,received,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",139800,8025276,,71.0
12,Gabriel Lippmann,Gabriel,Lippmann,Gabriel Lippmann,lippmann,male,1845-08-16,Luxembourg,1921-07-13,,https://en.wikipedia.org/wiki/Gabriel_Lippmann,"{'id': 'Q133232', 'url': 'https://www.wikidata.org/wiki/Q133232'}","['https://www.wikidata.org/wiki/Q133232', 'https://en.wikipedia.org/wiki/Gabriel_Lippmann']",1908,Physics,The Nobel Prize in Physics,1,1,1908-11-10,received,for his method of reproducing colours photographically based on the phenomenon of interference,139800,8025276,Sorbonne University,63.0
301,Ilya Mechnikov,Ilya,Mechnikov,Ilya Ilyich Mechnikov,mechnikov,male,1845-05-15,Russian Empire,1916-07-15,France,https://en.wikipedia.org/wiki/Élie_Metchnikoff,"{'id': 'Q172254', 'url': 'https://www.wikidata.org/wiki/Q172254'}","['https://www.wikidata.org/wiki/Q172254', 'https://en.wikipedia.org/wiki/Élie_Metchnikoff']",1908,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,1908-10-29,received,in recognition of their work on immunity,139800,8025276,Institut Pasteur,63.0
