Hectare,Shift,Date,Sighter Observed Weather Data,Temperature,Weather,Clear/Sunny,Cloudy,Precipitation,Windy,Humid
10A,AM,10062018,"65º F, Cloudy, Light Drizzle",65º F,Cloudy,No,Yes,Yes,No,No
10A,PM,10142018,"57º F, Cloudy",57º F,Cloudy,No,Yes,No,No,No
10B,PM,10142018,"58º F, Overcast Cool & Crisp",58º F,Overcast,No,Yes,No,No,No
10C,AM,10182018,"43º F, Sunny, Breezy",43º F,Sunny,Yes,No,No,Yes,No
10D,PM,10082018,"65º F, Overcast",65º F,Overcast,No,Yes,No,No,No
10D,AM,10082018,"66º F, Cloudy",66º F,Cloudy,No,Yes,No,No,No
10E,AM,10102018,"71º F, Cloudy, Humid",71º F,Cloudy,No,Yes,No,No,Yes
10E,PM,10072018,"79º F, Partly Cloudy",79º F,Partly Cloudy,No,Yes,No,No,No
10F,AM,10072018,"71º F, Humid, Cloudy",71º F,Cloudy,No,Yes,No,No,Yes
10F,PM,10192018,"58º F, Partly Cloudy",58º F,Partly Cloudy,No,Yes,No,No,No
10G,PM,10172018,"60º F, Windy, Clouds Coming In",60º F,Windy,No,Yes,No,Yes,No
10H,PM,10072018,"81º F, Partly Cloudy, Humid",81º F,Partly Cloudy,No,Yes,No,No,Yes
10I,AM,10102018,"Partly Cloudy, Dewy",,Partly Cloudy,No,Yes,Yes,No,No
10I,PM,10132018,"56º F, Partly Cloudy",56º F,Partly Cloudy,No,Yes,No,No,No
11A,AM,10142018,"Mild (mid-50s), Cloudy",55º F,Cloudy,No,Yes,No,No,No
11A,PM,10132018,"55º F, Cloudy",55º F,Cloudy,No,Yes,No,No,No
11B,AM,10072018,"71º F, Overcast, Humid",71º F,Overcast,No,Yes,No,No,Yes
11B,PM,10142018,"Cool, Cloudy",,Cloudy,No,Yes,No,No,No
11C,AM,10072018,"70º F, Overcast, Humid",70º F,Overcast,No,Yes,No,No,Yes
11C,PM,10182018,"53º F, Sunset",53º F,Sunset,No,No,No,No,No
11D,AM,10102018,"72º F, Glasses Fogging Humid",72º F,Humid,No,No,No,No,Yes
11E,PM,10122018,"61º F, Sunny",61º F,Sunny,Yes,No,No,No,No
11E,AM,10132018,"48º F, Rain (Light to Steady)",48º F,Rain,No,Yes,Yes,No,No
11F,AM,10132018,"49º F, rainy, overcast, kinda windy",49º F,Rainy,No,Yes,Yes,Yes,No
11G,AM,10122018,"60º F, partly cloudy, windy",60º F,Partly Cloudy,No,Yes,No,Yes,No
11G,PM,10132018,"55º F, cloudy",55º F,Cloudy,No,Yes,No,No,No
11H,AM,10102018,"70º F, Muggy",70º F,Muggy,No,No,No,No,Yes
11I,AM,10122018,"60º F, windy, partly cloudy",60º F,Partly Cloudy,No,Yes,No,Yes,No
12A,AM,10082018,"66º F, overcast, drizzling, no wind",66º F,Overcast,No,Yes,Yes,No,No
12A,PM,10132018,"55º F, cloudy",55º F,Cloudy,No,Yes,No,No,No
12B,PM,10182018,"50º F, Sunny, Brisk",50º F,Sunny,Yes,No,No,No,No
12B,AM,10072018,"70º F, Cloudy",70º F,Cloudy,No,Yes,No,No,No
12C,AM,10132018,"48º F, light & steady rain",48º F,Rainy,No,Yes,Yes,No,No
12C,PM,10172018,"Partly cloudy, pleasant",,Partly Cloudy,No,Yes,No,No,No
12D,AM,10132018,"Rainy",,Rainy,No,Yes,Yes,No,No
12D,PM,10142018,"56º F",56º F,None,No,No,No,No,No
12E,AM,10172018,"51º F, sunny, clear",51º F,Sunny,Yes,No,No,No,No
12E,PM,10182018,"53º F, Sunny",53º F,Sunny,Yes,No,No,No,No
12F,PM,10072018,"79º F, Partly Cloudy",79º F,Partly Cloudy,No,Yes,No,No,No
12F,AM,10202018,"55º F, Cloudy",55º F,Cloudy,No,Yes,No,No,No
12G,AM,10122018,"60º F, windy, cloudy",60º F,Cloudy,No,Yes,No,Yes,No
12H,AM,10072018,"71º F, Cloud",71º F,Cloudy,No,Yes,No,No,No
12I,AM,10132018,"46º F, rainy, cold",46º F,Rainy,No,Yes,Yes,No,No
12I,PM,10172018,"60º F, sunny, very windy",60º F,Sunny,Yes,No,No,Yes,No
13A,AM,10172018,"49º F, sunny, not a cloud",49º F,Sunny,Yes,No,No,No,No
13A,PM,10142018,"Cool, Cloudy",,Cloudy,No,Yes,No,No,No
13B,AM,10082018,"66º F, overcast, no wind",66º F,Overcast,No,Yes,No,No,No
13B,PM,10082018,"70º F, misting",70º F,Misting,No,Yes,Yes,No,No
13C,PM,10192018,"56º F, Overcast",56º F,Overcast,No,Yes,No,No,No
13C,AM,10102018,"71º F, Cloudy and Wicked Humid",71º F,Humid,No,Yes,No,No,Yes
13D,PM,10182018,"55º F, Sunny",55º F,Sunny,Yes,No,No,No,No
13D,AM,10142018,"51º F, Cloudy with Sun",51º F,Cloudy,No,Yes,No,No,No
13E,PM,10082018,"66º F, Misty, Cloudy, Humid",66º F,Humid,No,Yes,Yes,No,Yes
13E,AM,10172018,"52º F, Sunny & Brisk",52º F,Sunny,Yes,No,No,No,No
13F,PM,10082018,"66º F, Misty, Light Rain, Cloudy",66º F,Cloudy,No,Yes,Yes,No,No
13F,AM,10072018,"70-73º F",73º F,None,No,No,No,No,No
13G,AM,10132018,"50º F, Rain",50º F,Rainy,No,Yes,Yes,No,No
13G,PM,10082018,"65º F, Overcast, Light Breeze",65º F,Overcast,No,Yes,No,Yes,No
13H,PM,10102018,"80º F, Sunny",80º F,Sunny,Yes,No,No,No,No
13H,AM,10132018,"~60º F, Rainy",60º F,Rainy,No,Yes,Yes,No,No
13I,AM,10132018,"46º F",46º F,None,No,No,No,No,No
13I,PM,10082018,"66º F, Misty, Cloudy",66º F,Cloudy,No,Yes,Yes,No,No
14A,AM,10142018,"Mid-50s, Cloudy",55º F,Cloudy,No,Yes,No,No,No
14A,PM,10142018,"57º F",57º F,None,No,No,No,No,No
14B,AM,10072018,"67º F, Cloudy",67º F,Cloudy,No,Yes,No,No,No
14B,PM,10142018,"57º F, Overcast",57º F,Overcast,No,Yes,No,No,No
14C,PM,10062018,"67º F, Gloomy, Overcast",67º F,Overcast,No,Yes,No,No,No
14C,AM,10072018,"70º F, Cloudy",70º F,Cloudy,No,Yes,No,No,No
14D,AM,10142018,"52º F, Mostly Cloudy",52º F,Cloudy,No,Yes,No,No,No
14D,PM,10192018,"60º F, Cloudy",60º F,Cloudy,No,Yes,No,No,No
14E,PM,10172018,"58º F, Sunny, Breezy",58º F,Sunny,Yes,No,No,Yes,No
14E,AM,10082018,"65º F, Fog, Clouds, Mist",65º F,Mist,No,Yes,Yes,No,No
14F,PM,10122018,"61º F, Sunny, Windy",61º F,Sunny,Yes,No,No,Yes,No
14F,AM,10072018,"73º F",73º F,None,No,No,No,No,No
14G,AM,10122018,"60º F, Partly Cloudy, Windy",60º F,Partly Cloudy,No,Yes,No,Yes,No
14H,PM,10122018,"61º F, Sunny, Windy, Sun Going Behind Trees",61º F,Sunny,Yes,No,No,Yes,No
14H,AM,10072018,"71-78º F, Cloudy",71º F,Cloudy,No,Yes,No,No,No
14I,PM,10182018,"40º F, Sunny",40º F,Sunny,Yes,No,No,No,No
14I,AM,10132018,"~60º F, Rainy",60º F,Rainy,No,Yes,Yes,No,No
15A,PM,10172018,"52º F, Cloudy, Light Rain Drops, Chilly",52º F,Cloudy,No,Yes,Yes,No,No
15B,PM,10172018,"Cool, Windy",,Windy,No,No,No,Yes,No
15B,AM,10142018,"50º F, sunny",50º F,Sunny,Yes,No,No,No,No
15C,AM,10102018,"74º F, Muggy & cloudy",74º F,Cloudy,No,Yes,No,No,Yes
15C,PM,10172018,"Got dark very suddenly",,None,No,No,No,No,No
15D,PM,10172018,"61º F, partly cloudy, then some showers",61º F,Partly Cloudy,No,Yes,Yes,No,No
15E,AM,10132018,"47º F, raining",47º F,Rainy,No,Yes,Yes,No,No
15E,PM,10082018,"64º F, cloudy",64º F,Cloudy,No,Yes,No,No,No
15F,PM,10102018,"80º F, Sunny",80º F,Sunny,Yes,No,No,No,No
15F,AM,10072018,"73º F, Cloudy",73º F,Cloudy,No,Yes,No,No,No
15G,AM,10082018,"Damp, misty, cloudy",,Cloudy,No,Yes,Yes,No,No
15G,PM,10192018,"60º F, Mostly Sunny + Slightly Breezy",60º F,Sunny,Yes,No,No,Yes,No
15H,AM,10132018,"49º F, light rain, cloudy",49º F,Rainy,No,Yes,Yes,No,No
15H,PM,10082018,"67º F, overcast, light breeze",67º F,Overcast,No,Yes,No,Yes,No
15I,AM,10082018,"Damp, humid, cloudy, dreary, misty, not raining, moist",,Cloudy,No,Yes,Yes,No,Yes
16A,AM,10132018,"Rainy",,Rainy,No,Yes,Yes,No,No
16A,PM,10192018,"58º F, Partly Cloudy",58º F,Partly Cloudy,No,Yes,No,No,No
16B,PM,10172018,"Cool, windy",,Windy,No,No,No,Yes,No
16B,AM,10142018,"50º F, sunny",50º F,Sunny,Yes,No,No,No,No
16C,PM,10182018,"51º F, Dry and Clear",51º F,Clear,Yes,No,No,No,No
16C,AM,10142018,"50º F, partly cloudy",50º F,Partly Cloudy,No,Yes,No,No,No
16D,PM,10102018,"76º F, Sunny, occasional breezes",76º F,Sunny,Yes,No,No,Yes,No
16D,AM,10072018,"70º F, Cloudy",70º F,Cloudy,No,Yes,No,No,No
16E,AM,10142018,"50º F, sunny",50º F,Sunny,Yes,No,No,No,No
16E,PM,10182018,"48º F, Partly Cloudly",48º F,Partly Cloudy,No,Yes,No,No,No
16F,PM,10132018,"55º F, clouds",55º F,Cloudy,No,Yes,No,No,No
16F,AM,10082018,"68º F, moist",68º F,Moist,No,No,No,No,Yes
16G,AM,10102018,"70º F, Muggy and partly cloudy",70º F,Partly Cloudy,No,Yes,No,No,Yes
16G,PM,10172018,"62º F, sunny, light breeze",62º F,Sunny,Yes,No,No,Yes,No
16H,AM,10072018,"72º F, Overcast",72º F,Overcast,No,Yes,No,No,No
16I,AM,10082018,"70º F, moist",70º F,Moist,No,No,No,No,Yes
17A,PM,10132018,"50s, sunny",,Sunny,Yes,No,No,No,No
17A,AM,10172018,"Low 50s, cool & sunny",,Sunny,Yes,No,No,No,No
17B,PM,10122018,"60º F, Breezy",60º F,Breezy,No,No,No,Yes,No
17B,AM,10102018,"73º F, Sunny",73º F,Sunny,Yes,No,No,No,No
17C,PM,10132018,"50s, sunny",,Sunny,Yes,No,No,No,No
17D,PM,10082018,"66º F, misty, cloudy, humid",66º F,Humid,No,Yes,Yes,No,Yes
17D,AM,10082018,"67º F, misty, cloudy, humid",67º F,Humid,No,Yes,Yes,No,Yes
17E,PM,10182018,"73º F",73º F,None,No,No,No,No,No
17E,AM,10172018,"55º F, Sunny",55º F,Sunny,Yes,No,No,No,No
17F,PM,10202018,"61º F, Clear Sky",61º F,Clear,Yes,No,No,No,No
17F,AM,10072018,"70º F, Cloudy",70º F,Cloudy,No,Yes,No,No,No
17G,AM,10182018,"40º F, Windy, Clear",40º F,Windy,Yes,No,No,Yes,No
17G,PM,10172018,"62º F, Sunny, light breeze & light sprinkle later on",62º F,Sunny,Yes,No,Yes,Yes,No
17H,PM,10072018,"79º F, Cloudy",79º F,Cloudy,No,Yes,No,No,No
17H,AM,10102018,"70º F, Humid and partly sunny",70º F,Partly Sunny,No,Yes,No,No,Yes
17I,PM,10172018,"62º F, cloudy, windy",62º F,Cloudy,No,Yes,No,Yes,No
17I,AM,10142018,"49º F, calm & crisp",49º F,Crisp,Yes,No,No,No,No
18A,PM,10182018,"49º F, Clear",49º F,Clear,Yes,No,No,No,No
18A,AM,10122018,"58º F, cloudy, very windy",58º F,Cloudy,No,Yes,No,Yes,No
18B,PM,10182018,"Sunny, Windy, Cool",,Sunny,Yes,No,No,Yes,No
18B,AM,10172018,"57º F, sunny",57º F,Sunny,Yes,No,No,No,No
18C,AM,10182018,"40º F, Cold, Sunny, Windy",40º F,Sunny,Yes,No,No,Yes,No
18D,PM,10172018,"63º F, mostly sunny, off-&-on windy",63º F,Mostly Sunny,Yes,No,No,Yes,No
18E,PM,10062018,"65º F, drizzly",65º F,Drizzly,No,Yes,Yes,No,No
18E,AM,10122018,"58º F, cloudy, very windy",58º F,Cloudy,No,Yes,No,Yes,No
18G,PM,10132018,"49º F, breezy, partly cloudy",49º F,Partly Cloudy,No,Yes,No,Yes,No
18H,PM,10142018,"58º F, cool",58º F,Cool,No,No,No,No,No
18H,AM,10182018,"44º F, Sunny, Clear Sky, Gusty",44º F,Sunny,Yes,No,No,Yes,No
18I,AM,10172018,"50º F, sunny",50º F,Sunny,Yes,No,No,No,No
18I,PM,10072018,"79º F, Partly Cloudy",79º F,Partly Cloudy,No,Yes,No,No,No
19A,PM,10132018,"~Low 50s, cold, partly cloudy, sunshine",50º F,Partly Cloudy,No,Yes,No,No,No
19A,AM,10132018,"50º F, rain",50º F,Rain,No,Yes,Yes,No,No
19B,AM,10192018,"46º F",46º F,None,No,No,No,No,No
19C,AM,10192018,"46º F, Sunny Breezy",46º F,Sunny,Yes,No,No,Yes,No
19D,AM,10072018,"69º F",69º F,None,No,No,No,No,No
19D,PM,10082018,"68º F, misty",68º F,Misty,No,Yes,Yes,No,No
19E,PM,10182018,"49º F, Clear",49º F,Clear,Yes,No,No,No,No
19E,AM,10072018,"69º F, Cloudy. A bit humid",69º F,Cloudy,No,Yes,No,No,Yes
19F,PM,10172018,"63º F, windy, cloudy",63º F,Cloudy,No,Yes,No,Yes,No
19F,AM,10072018,"84º F, Cloudy",84º F,Cloudy,No,Yes,No,No,No
19G,AM,10182018,"43º F, Sunny",43º F,Sunny,Yes,No,No,No,No
19G,PM,10172018,"62º F, Partly Cloudy, very windy (attacked by flying leaves kind)",62º F,Partly Cloudy,No,Yes,No,Yes,No
19H,AM,10102018,"70º F, Humid and cloudy",70º F,Cloudy,No,Yes,No,No,Yes
19I,PM,10172018,"63º F, Breezy, Sunny",63º F,Sunny,Yes,No,No,Yes,No
19I,AM,10172018,"51º F, sunny, windy",51º F,Sunny,Yes,No,No,Yes,No
20A,PM,10172018,"63º F, sunny then cloudy, wind gusts, a few raindrops",63º F,Partly Cloudy,No,Yes,Yes,Yes,No
20A,AM,10102018,"73º F, Cloudy and humid",73º F,Cloudy,No,Yes,No,No,Yes
20B,PM,10132018,"Low 50s, cold",,Cold,No,No,No,No,No
20B,AM,10072018,"70º F, Drizzly. Overcast.",70º F,Drizzly,No,Yes,Yes,No,No
20C,AM,10182018,"Sunny, Blue Sky",,Sunny,Yes,No,No,No,No
20C,PM,10182018,"76º F, Sunny",76º F,Sunny,Yes,No,No,No,No
20D,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
20D,AM,10072018,"70º F",70º F,None,No,No,No,No,No
20E,AM,10142018,"49º F, sunny",49º F,Sunny,Yes,No,No,No,No
20F,PM,10072018,"78º F, Humid. Sunny. Filtered by trees",78º F,Sunny,Yes,No,No,No,Yes
20F,AM,10142018,"49º F, calm & crisp",49º F,Crisp,No,No,No,No,No
20G,AM,10182018,"43º F, Partly Sunny, Breezy",43º F,Partly Sunny,Yes,No,No,Yes,No
20G,PM,10132018,"54º F, cloudy",54º F,Cloudy,No,Yes,No,No,No
20H,PM,10132018,"49º F, partly cloudy",49º F,Partly Cloudy,No,Yes,No,No,No
20H,AM,10142018,"55º F, partly sunny",55º F,Partly Sunny,Yes,No,No,No,No
20I,PM,10182018,"40º F, Sunny, Windy",40º F,Sunny,Yes,No,No,Yes,No
20I,AM,10172018,"51º F, sunny, windy",51º F,Sunny,Yes,No,No,Yes,No
21B,PM,10172018,"77º F, with some breeze",77º F,Sunny,Yes,No,No,Yes,No
21C,AM,10142018,"54º F, partly cloudy",54º F,Partly Cloudy,No,Yes,No,No,No
21D,PM,10082018,"68º F, misty",68º F,Misty,No,Yes,Yes,No,No
21E,PM,10122018,"61º F, sunny",61º F,Sunny,Yes,No,No,No,No
21E,AM,10172018,"low 50s, cool & sunny",50º F,Sunny,Yes,No,No,No,No
21F,PM,10182018,"50º F, Light wind, Clear",50º F,Clear,Yes,No,No,Yes,No
21F,AM,10182018,"44º F, Sunny, Windy",44º F,Sunny,Yes,No,No,Yes,No
