country_search,Year,State,United Kingdom %,Wikipedia %
Albania,2024,Arizona,5.0,95.0
Albania,2024,Arkansas,4.0,96.0
Albania,2024,California,4.0,96.0
Albania,2024,Colorado,5.0,95.0
Albania,2024,Connecticut,12.0,88.0
Albania,2024,Delaware,5.0,95.0
Albania,2024,District of Columbia,8.0,92.0
Albania,2024,Florida,7.000000000000001,93.0
Albania,2024,Georgia,5.0,95.0
Albania,2024,Hawaii,3.0,97.0
Albania,2024,Idaho,5.0,95.0
Albania,2024,Illinois,7.000000000000001,93.0
Albania,2024,Indiana,4.0,96.0
Albania,2024,Iowa,5.0,95.0
Albania,2024,Kansas,4.0,96.0
Albania,2024,Kentucky,4.0,96.0
Albania,2024,Louisiana,4.0,96.0
Albania,2024,Maine,5.0,95.0
Albania,2024,Maryland,5.0,95.0
Albania,2024,Massachusetts,8.0,92.0
Albania,2024,Michigan,10.0,90.0
Albania,2024,Minnesota,4.0,96.0
Albania,2024,Mississippi,4.0,96.0
Albania,2024,Missouri,4.0,96.0
Albania,2024,Montana,4.0,96.0
Albania,2024,Nebraska,5.0,95.0
Albania,2024,Nevada,5.0,95.0
Albania,2024,New Hampshire,5.0,95.0
Albania,2024,New Jersey,9.0,91.0
Albania,2024,New Mexico,4.0,96.0
Albania,2024,New York,11.0,89.0
Albania,2024,North Carolina,5.0,95.0
Albania,2024,North Dakota,5.0,95.0
Albania,2024,Ohio,4.0,96.0
Albania,2024,Oklahoma,4.0,96.0
Albania,2024,Oregon,4.0,96.0
Albania,2024,Pennsylvania,6.0,94.0
Albania,2024,Rhode Island,5.0,95.0
Albania,2024,South Carolina,5.0,95.0
Albania,2024,South Dakota,5.0,95.0
Albania,2024,Tennessee,4.0,96.0
Albania,2024,Texas,6.0,94.0
Albania,2024,Utah,5.0,95.0
Albania,2024,Vermont,5.0,95.0
Albania,2024,Virginia,6.0,94.0
Albania,2024,Washington,4.0,96.0
Albania,2024,West Virginia,4.0,96.0
Albania,2024,Wisconsin,5.0,95.0
Albania,2024,Wyoming,5.0,95.0
Algeria,2024,Alabama,3.0,97.0
Algeria,2024,Alaska,3.0,97.0
Algeria,2024,Arizona,3.0,97.0
Algeria,2024,Arkansas,3.0,97.0
Algeria,2024,California,3.0,97.0
Algeria,2024,Colorado,4.0,96.0
Algeria,2024,Connecticut,3.0,97.0
Algeria,2024,Delaware,4.0,96.0
Algeria,2024,District of Columbia,5.0,95.0
Algeria,2024,Florida,3.0,97.0
Algeria,2024,Georgia,3.0,97.0
Algeria,2024,Hawaii,2.0,98.0
Algeria,2024,Idaho,3.0,97.0
Algeria,2024,Illinois,4.0,96.0
Algeria,2024,Indiana,3.0,97.0
Algeria,2024,Iowa,4.0,96.0
Algeria,2024,Kansas,4.0,96.0
Algeria,2024,Kentucky,3.0,97.0
Algeria,2024,Louisiana,3.0,97.0
Algeria,2024,Maine,3.0,97.0
Algeria,2024,Maryland,3.0,97.0
Algeria,2024,Massachusetts,4.0,96.0
Algeria,2024,Michigan,3.0,97.0
Algeria,2024,Minnesota,3.0,97.0
Algeria,2024,Mississippi,3.0,97.0
Algeria,2024,Missouri,3.0,97.0
Algeria,2024,Montana,4.0,96.0
Algeria,2024,Nebraska,3.0,97.0
Algeria,2024,Nevada,3.0,97.0
Algeria,2024,New Hampshire,4.0,96.0
Algeria,2024,New Jersey,4.0,96.0
Algeria,2024,New Mexico,3.0,97.0
Algeria,2024,New York,4.0,96.0
Algeria,2024,North Carolina,3.0,97.0
Algeria,2024,North Dakota,4.0,96.0
Algeria,2024,Ohio,3.0,97.0
Algeria,2024,Oklahoma,3.0,97.0
Algeria,2024,Oregon,3.0,97.0
Algeria,2024,Pennsylvania,4.0,96.0
Algeria,2024,Rhode Island,3.0,97.0
Algeria,2024,South Carolina,3.0,97.0
Algeria,2024,South Dakota,4.0,96.0
Algeria,2024,Tennessee,3.0,97.0
Algeria,2024,Texas,4.0,96.0
Algeria,2024,Utah,3.0,97.0
Algeria,2024,Vermont,3.0,97.0
Algeria,2024,Virginia,4.0,96.0
Algeria,2024,Washington,2.0,98.0
Algeria,2024,West Virginia,3.0,97.0
Algeria,2024,Wisconsin,3.0,97.0
Algeria,2024,Wyoming,4.0,96.0
Andorra,2024,Alabama,1.0,99.0
Andorra,2024,Alaska,1.0,99.0
Andorra,2024,Arizona,1.0,99.0
Andorra,2024,Arkansas,1.0,99.0
Andorra,2024,California,1.0,99.0
Andorra,2024,Colorado,2.0,98.0
Andorra,2024,Connecticut,1.0,99.0
Andorra,2024,Delaware,1.0,99.0
Andorra,2024,District of Columbia,2.0,98.0
Andorra,2024,Florida,2.0,98.0
Andorra,2024,Georgia,1.0,99.0
Andorra,2024,Hawaii,1.0,99.0
Andorra,2024,Idaho,1.0,99.0
Andorra,2024,Illinois,1.0,99.0
Andorra,2024,Indiana,1.0,99.0
Andorra,2024,Iowa,1.0,99.0
Andorra,2024,Kansas,1.0,99.0
Andorra,2024,Kentucky,1.0,99.0
Andorra,2024,Louisiana,1.0,99.0
Andorra,2024,Maine,1.0,99.0
Andorra,2024,Maryland,1.0,99.0
Andorra,2024,Massachusetts,1.0,99.0
Andorra,2024,Michigan,1.0,99.0
Andorra,2024,Minnesota,1.0,99.0
Andorra,2024,Mississippi,1.0,99.0
Andorra,2024,Missouri,1.0,99.0
Andorra,2024,Montana,1.0,99.0
Andorra,2024,Nebraska,1.0,99.0
Andorra,2024,Nevada,1.0,99.0
Andorra,2024,New Hampshire,1.0,99.0
Andorra,2024,New Jersey,1.0,99.0
Andorra,2024,New Mexico,1.0,99.0
Andorra,2024,New York,1.0,99.0
Andorra,2024,North Carolina,2.0,98.0
Andorra,2024,North Dakota,1.0,99.0
Andorra,2024,Ohio,1.0,99.0
Andorra,2024,Oklahoma,1.0,99.0
Andorra,2024,Oregon,1.0,99.0
Andorra,2024,Pennsylvania,3.0,97.0
Andorra,2024,Rhode Island,1.0,99.0
Andorra,2024,South Carolina,1.0,99.0
Andorra,2024,South Dakota,2.0,98.0
Andorra,2024,Tennessee,1.0,99.0
Andorra,2024,Texas,2.0,98.0
Andorra,2024,Utah,1.0,99.0
Andorra,2024,Vermont,1.0,99.0
Andorra,2024,Virginia,1.0,99.0
Andorra,2024,Washington,1.0,99.0
Andorra,2024,West Virginia,1.0,99.0
Andorra,2024,Wisconsin,1.0,99.0
Andorra,2024,Wyoming,2.0,98.0
Angola,2024,Alabama,3.0,97.0
Angola,2024,Alaska,3.0,97.0
Angola,2024,Arizona,2.0,98.0
Angola,2024,Arkansas,3.0,97.0
Angola,2024,California,2.0,98.0
Angola,2024,Colorado,2.0,98.0
Angola,2024,Connecticut,2.0,98.0
Angola,2024,Delaware,11.0,89.0
Angola,2024,District of Columbia,6.0,94.0
Angola,2024,Florida,3.0,97.0
Angola,2024,Georgia,3.0,97.0
Angola,2024,Hawaii,1.0,99.0
Angola,2024,Idaho,2.0,98.0
Angola,2024,Illinois,3.0,97.0
Angola,2024,Indiana,46.0,54.0
Angola,2024,Iowa,4.0,96.0
Angola,2024,Kansas,3.0,97.0
Angola,2024,Kentucky,3.0,97.0
Angola,2024,Louisiana,22.0,78.0
Angola,2024,Maine,12.0,88.0
Angola,2024,Maryland,4.0,96.0
Angola,2024,Massachusetts,2.0,98.0
Angola,2024,Michigan,12.0,88.0
Angola,2024,Minnesota,3.0,97.0
Angola,2024,Mississippi,9.0,91.0
Angola,2024,Missouri,2.0,98.0
Angola,2024,Montana,2.0,98.0
Angola,2024,Nebraska,3.0,97.0
Angola,2024,Nevada,2.0,98.0
Angola,2024,New Hampshire,2.0,98.0
Angola,2024,New Jersey,2.0,98.0
Angola,2024,New Mexico,2.0,98.0
Angola,2024,New York,6.0,94.0
Angola,2024,North Carolina,3.0,97.0
Angola,2024,North Dakota,4.0,96.0
Angola,2024,Ohio,7.000000000000001,93.0
Angola,2024,Oklahoma,3.0,97.0
Angola,2024,Oregon,2.0,98.0
Angola,2024,Pennsylvania,2.0,98.0
Angola,2024,Rhode Island,3.0,97.0
Angola,2024,South Carolina,3.0,97.0
Angola,2024,South Dakota,3.0,97.0
Angola,2024,Tennessee,3.0,97.0
Angola,2024,Texas,4.0,96.0
Angola,2024,Utah,2.0,98.0
Angola,2024,Vermont,2.0,98.0
Angola,2024,Virginia,3.0,97.0
Angola,2024,Washington,2.0,98.0
Angola,2024,West Virginia,2.0,98.0
Angola,2024,Wisconsin,2.0,98.0
Angola,2024,Wyoming,3.0,97.0
Antigua and Barbuda,2024,Alabama,0.0,100.0
Antigua and Barbuda,2024,Alaska,0.0,100.0
Antigua and Barbuda,2024,Arizona,0.0,100.0
Antigua and Barbuda,2024,Arkansas,0.0,100.0
Antigua and Barbuda,2024,California,0.0,100.0
Antigua and Barbuda,2024,Colorado,0.0,100.0
Antigua and Barbuda,2024,Connecticut,0.0,100.0
Antigua and Barbuda,2024,Delaware,0.0,100.0
Antigua and Barbuda,2024,District of Columbia,0.0,100.0
Antigua and Barbuda,2024,Florida,0.0,100.0
Antigua and Barbuda,2024,Georgia,0.0,100.0
Antigua and Barbuda,2024,Hawaii,0.0,100.0
Antigua and Barbuda,2024,Idaho,0.0,100.0
Antigua and Barbuda,2024,Illinois,0.0,100.0
Antigua and Barbuda,2024,Indiana,0.0,100.0
Antigua and Barbuda,2024,Iowa,0.0,100.0
Antigua and Barbuda,2024,Kansas,0.0,100.0
Antigua and Barbuda,2024,Kentucky,0.0,100.0
Antigua and Barbuda,2024,Louisiana,0.0,100.0
Antigua and Barbuda,2024,Maine,0.0,100.0
Antigua and Barbuda,2024,Maryland,0.0,100.0
Antigua and Barbuda,2024,Massachusetts,0.0,100.0
Antigua and Barbuda,2024,Michigan,0.0,100.0
Antigua and Barbuda,2024,Minnesota,0.0,100.0
Antigua and Barbuda,2024,Mississippi,0.0,100.0
Antigua and Barbuda,2024,Missouri,0.0,100.0
Antigua and Barbuda,2024,Montana,0.0,100.0
Antigua and Barbuda,2024,Nebraska,0.0,100.0
Antigua and Barbuda,2024,Nevada,0.0,100.0
Antigua and Barbuda,2024,New Hampshire,0.0,100.0
Antigua and Barbuda,2024,New Jersey,0.0,100.0
Antigua and Barbuda,2024,New Mexico,0.0,100.0
Antigua and Barbuda,2024,New York,1.0,99.0
Antigua and Barbuda,2024,North Carolina,0.0,100.0
Antigua and Barbuda,2024,North Dakota,0.0,100.0
Antigua and Barbuda,2024,Ohio,0.0,100.0
Antigua and Barbuda,2024,Oklahoma,0.0,100.0
Antigua and Barbuda,2024,Oregon,0.0,100.0
Antigua and Barbuda,2024,Pennsylvania,0.0,100.0
Antigua and Barbuda,2024,Rhode Island,0.0,100.0
Antigua and Barbuda,2024,South Carolina,0.0,100.0
Antigua and Barbuda,2024,South Dakota,0.0,100.0
Antigua and Barbuda,2024,Tennessee,0.0,100.0
Antigua and Barbuda,2024,Texas,0.0,100.0
Antigua and Barbuda,2024,Utah,0.0,100.0
Antigua and Barbuda,2024,Vermont,0.0,100.0
Antigua and Barbuda,2024,Virginia,0.0,100.0
Antigua and Barbuda,2024,Washington,0.0,100.0
Antigua and Barbuda,2024,West Virginia,0.0,100.0
Antigua and Barbuda,2024,Wisconsin,0.0,100.0
Antigua and Barbuda,2024,Wyoming,0.0,100.0
Argentina,2024,Alabama,28.999999999999996,71.0
Argentina,2024,Alaska,27.0,73.0
Argentina,2024,Arizona,35.0,65.0
Argentina,2024,Arkansas,28.999999999999996,71.0
Argentina,2024,California,40.0,60.0
Argentina,2024,Colorado,37.0,63.0
Argentina,2024,Connecticut,39.0,61.0
Argentina,2024,Delaware,33.0,67.0
Argentina,2024,District of Columbia,39.0,61.0
Argentina,2024,Florida,59.0,41.0
Argentina,2024,Georgia,42.0,57.99999999999999
Argentina,2024,Hawaii,24.0,76.0
Argentina,2024,Idaho,33.0,67.0
Argentina,2024,Illinois,37.0,63.0
Argentina,2024,Indiana,28.999999999999996,71.0
Argentina,2024,Iowa,28.999999999999996,71.0
Argentina,2024,Kansas,30.0,70.0
Argentina,2024,Kentucky,27.0,73.0
Argentina,2024,Louisiana,31.0,69.0
Argentina,2024,Maine,20.0,80.0
Argentina,2024,Maryland,40.0,60.0
Argentina,2024,Massachusetts,31.0,69.0
Argentina,2024,Michigan,26.0,74.0
Argentina,2024,Minnesota,28.000000000000004,72.0
Argentina,2024,Mississippi,26.0,74.0
Argentina,2024,Missouri,26.0,74.0
Argentina,2024,Montana,24.0,76.0
Argentina,2024,Nebraska,34.0,66.0
Argentina,2024,Nevada,42.0,57.99999999999999
Argentina,2024,New Hampshire,21.0,79.0
Argentina,2024,New Jersey,50.0,50.0
Argentina,2024,New Mexico,30.0,70.0
Argentina,2024,New York,41.0,59.0
Argentina,2024,North Carolina,38.0,62.0
Argentina,2024,North Dakota,24.0,76.0
Argentina,2024,Ohio,23.0,77.0
Argentina,2024,Oklahoma,28.999999999999996,71.0
Argentina,2024,Oregon,26.0,74.0
Argentina,2024,Pennsylvania,28.000000000000004,72.0
Argentina,2024,Rhode Island,33.0,67.0
Argentina,2024,South Carolina,35.0,65.0
Argentina,2024,South Dakota,27.0,73.0
Argentina,2024,Tennessee,31.0,69.0
Argentina,2024,Texas,48.0,52.0
Argentina,2024,Utah,44.0,56.00000000000001
Argentina,2024,Vermont,21.0,79.0
Argentina,2024,Virginia,39.0,61.0
Argentina,2024,Washington,25.0,75.0
Argentina,2024,West Virginia,20.0,80.0
Argentina,2024,Wisconsin,26.0,74.0
Argentina,2024,Wyoming,33.0,67.0
Armenia,2024,Alabama,2.0,98.0
Armenia,2024,Alaska,3.0,97.0
Armenia,2024,Arizona,3.0,97.0
Armenia,2024,Arkansas,2.0,98.0
Armenia,2024,California,10.0,90.0
Armenia,2024,Colorado,3.0,97.0
Armenia,2024,Connecticut,4.0,96.0
Armenia,2024,Delaware,3.0,97.0
Armenia,2024,District of Columbia,7.000000000000001,93.0
Armenia,2024,Florida,9.0,91.0
Armenia,2024,Georgia,3.0,97.0
Armenia,2024,Hawaii,2.0,98.0
Armenia,2024,Idaho,4.0,96.0
Armenia,2024,Illinois,3.0,97.0
Armenia,2024,Indiana,2.0,98.0
Armenia,2024,Iowa,3.0,97.0
Armenia,2024,Kansas,3.0,97.0
Armenia,2024,Kentucky,2.0,98.0
Armenia,2024,Louisiana,2.0,98.0
Armenia,2024,Maine,3.0,97.0
Armenia,2024,Maryland,3.0,97.0
Armenia,2024,Massachusetts,5.0,95.0
Armenia,2024,Michigan,3.0,97.0
Armenia,2024,Minnesota,3.0,97.0
Armenia,2024,Mississippi,2.0,98.0
Armenia,2024,Missouri,2.0,98.0
Armenia,2024,Montana,2.0,98.0
Armenia,2024,Nebraska,3.0,97.0
Armenia,2024,Nevada,5.0,95.0
Armenia,2024,New Hampshire,3.0,97.0
Armenia,2024,New Jersey,5.0,95.0
Armenia,2024,New Mexico,2.0,98.0
Armenia,2024,New York,4.0,96.0
Armenia,2024,North Carolina,3.0,97.0
Armenia,2024,North Dakota,3.0,97.0
Armenia,2024,Ohio,2.0,98.0
Armenia,2024,Oklahoma,2.0,98.0
Armenia,2024,Oregon,2.0,98.0
Armenia,2024,Pennsylvania,3.0,97.0
Armenia,2024,Rhode Island,5.0,95.0
Armenia,2024,South Carolina,3.0,97.0
Armenia,2024,South Dakota,2.0,98.0
Armenia,2024,Tennessee,3.0,97.0
Armenia,2024,Texas,3.0,97.0
Armenia,2024,Utah,4.0,96.0
Armenia,2024,Vermont,3.0,97.0
Armenia,2024,Virginia,4.0,96.0
Armenia,2024,Washington,2.0,98.0
Armenia,2024,West Virginia,2.0,98.0
Armenia,2024,Wisconsin,3.0,97.0
Armenia,2024,Wyoming,3.0,97.0
Australia,2024,Alabama,45.0,55.00000000000001
Australia,2024,Alaska,54.0,46.0
Australia,2024,Arizona,51.0,49.0
Australia,2024,Arkansas,45.0,55.00000000000001
Australia,2024,California,51.0,49.0
Australia,2024,Colorado,52.0,48.0
Australia,2024,Connecticut,43.0,56.99999999999999
Australia,2024,Delaware,45.0,55.00000000000001
Australia,2024,District of Columbia,53.0,47.0
Australia,2024,Florida,48.0,52.0
Australia,2024,Georgia,50.0,50.0
